小窗凝坐独幽情	xiaochuangningzuoduyouqing
小巧	xiaoqiao
小巧玲珑	xiaoqiaolinglong
斜抱云和	xiebaoyunhe
携佳人兮步迟迟	xiejiarenxibuchichi
斜视眼	xieshiyan
斜眼	xieyan
新月如佳人出海初弄色	xinyuerujiarenchuhaichunongse
新月如佳人潋潋初弄月	xinyuerujiarenlianlianchunongyue
杏儿眼	xingeryan
杏面桃腮	xingmiantaosai
星眸	xingmou
星眸微嗔	xingmouweichen
杏眼	xingyan
杏眼明仁	xingyanmingren
修长	xiuchang
修长美丽	xiuchangmeili
修耳隆鼻	xiuerlongbi
秀眉	xiumei
秀美	xiumei
修眉联娟	xiumeilianjuan
秀目	xiumu
秀目黛眉	xiumudaimei
秀色可餐	xiusekecan
秀外慧中	xiuwaihuizhong
修项秀颈	xiuxiangxiujing
秀靥艳比花娇	xiuyeyanbihuajiao
蓄着分头	xuzhefentou
雪肤花貌	xuefuhuamao
血盆大口	xuependakou
学生发	xueshengfa
眼大无神	yandawushen
眼花缭乱	yanhualiaoluan
眼睛	yanjing
眼睛贼亮	yanjingzeiliang
艳绝一时	yanjueyishi
艳美绝伦	yanmeijuelun
艳美绝俗	yanmeijuesu
艳美无敌	yanmeiwudi
嫣然巧笑	yanranqiaoxiao
艳如桃李	yanrutaoli
颜如渥丹	yanruwodan
颜如玉气如兰	yanruyuqirulan
眼若流星	yanruoliuxing
艳若桃李	yanruotaoli
艳色绝世	yansejueshi
颜炜含荣	yanweihanrong
艳冶柔媚	yanyeroumei
掩映生姿	yanyingshengzi
燕语莺啼	yanyuyingti
燕支多美女走马轻风雪	yanzhiduomeinvzoumaqingfengxue
艳妆华服	yanzhuanghuafu
燕子楼空佳人何在	yanziloukongjiarenhezai
妍姿俏丽	yanziqiaoli
妍姿妖艳	yanziyaoyan
仰抚云鬓俯弄芳菲	yangfuyunbinfunongfangfei
仰抚云髻俯弄芳荣	yangfuyunjifunongfangrong
羊角辫	yangjiaobian
药栏花榭生妙龄	yaolanhuaxieshengmiaoling
耀如春华	yaoruchunhua
腰若流纨素耳著明月铛	yaoruoliuwansuerzhumingyuedang
夭桃浓李	yaotaonongli
窈窕淑女	yaotiaoshunv
窈窕无双	yaotiaowushuang
腰肢袅娜似弱柳	yaozhiniaonuosiruoliu
叶底藏花	yedicanghua
靥铺七巧笑	yepuqiqiaoxiao
冶容多姿鬓	yerongduozibin
一串骊珠	yichuanlizhu
一顾倾人城作文	yiguqingrenchengzuowen
仪静体闲	yijingtixian
倚栏待月	yilandaiyue
倚栏游径释闲情	yilanyoujingshixianqing
一貌倾城	yimaoqingcheng
一颦一笑	yipinyixiao
仪态万千	yitaiwanqian
宜笑遗光	yixiaoyiguang
银发	yinfa
银甲绣凤	yinjiaxiufeng
音似念奴	yinsiniannu
莺惭燕妒	yingcanyandu
鹰钩鼻	yinggoubi
樱口樊素	yingkoufansu
嘤然有声	yingranyousheng
映日荷花别样红	yingrihehuabieyanghong
樱桃小嘴	yingtaoxiaozui
盈盈秋水	yingyingqiushui
盈盈十五娟娟二八	yingyingshiwujuanjuanerba
盈盈惺惺	yingyingxingxing
颖之藻仪	yingzhizaoyi
英姿飒爽	yingzisashuang
雍容华贵	yongronghuagui
雍容雅步	yongrongyabu
又粗又浓	youcuyounong
油光光	youguangguang
油光闪亮	youguangshanliang
黝黑	youhei
油乎乎	youhuhu
有力	youli
油亮光洁	youliangguangjie
油亮亮	youliangliang
尤物移人	youwuyiren
优雅闲适	youyaxianshi
玉骨冰肌	yugubingji
玉面淡拂	yumiandanfu
玉女品箫	yunvpinxiao
玉软花柔	yuruanhuarou
玉体香肌	yutixiangji
玉体迎风	yutiyingfeng
玉颜艳春红	yuyanyanchunhong
玉瓒螺髻	yuzanluoji
圆溜溜	yuanliuliu
圆溜溜的	yuanliuliude
圆润	yuanrun
圆润如玉	yuanrunruyu
月里嫦娥	yuelichange
月貌花容	yuemaohuarong
月眉星眼	yuemeixingyan
云鬓高耸	yunbingaosong
云鬓花颜金步摇	yunbinhuayanjinbuyao
云髻峨峨	yunjiee
赞许	zanxu
脏乎乎	zanghuhu
贼眉鼠眼	zeimeishuyan
增娇盈媚	zengjiaoyingmei
占尽风流	zhanjinfengliu
獐头鼠目	zhangtoushumu
招风耳	zhaofenger
折纤腰以微步呈皓腕于轻纱	zhexianyaoyiweibuchenghaowanyuqingsha
整齐	zhengqi
脂粉污颜色	zhifenwuyanse
直勾勾	zhigougou
肿泡眼	zhongpaoyan
皱巴巴	zhoubaba
朱唇	zhuchun
朱唇皓齿	zhuchunhaochi
朱唇榴齿的砾灿练	zhuchunliuchidelicanlian
珠纱遮面	zhushazhemian
珠围翠绕	zhuweicuirao
珠圆玉润	zhuyuanyurun
专注	zhuanzhu
灼其华	zhuoqihua
擢纤纤之素手雪皓腕而露形	zhuoxianxianzhisushouxuehaowanerluxing
紫气东来	ziqidonglai
自然卷发	ziranjuanfa
姿色天然	zisetianran
紫芝眉宇	zizhimeiyu
足下蹑丝履头上玳瑁光	zuxianiesilvtoushangdaimaoguang
嘴巴	zuiba
嘴大唇厚	zuidachunhou
醉颜微酡	zuiyanweituo
左右顾盼	zuoyougupan
