安眠穴	anmianxue
周荣穴	zhourongxue
肘穴	zhouxue
筑宾	zhubin
筑宾穴	zhubinxue
子宫	zigong
紫宫	zigong
子宫穴	zigongxue
紫宫穴	zigongxue
足厥阴	zujueyin
足厥阴肝经	zujueyinganjing
足临泣	zulinqi
足临泣穴	zulinqixue
足窍阴	zuqiaoyin
足窍阴穴	zuqiaoyinxue
足三里	zusanli
足三里穴	zusanlixue
足三阳	zusanyang
足三阴	zusanyin
足少阳	zushaoyang
足少阳胆经	zushaoyangdanjing
足少阴	zushaoyin
足少阴肾经	zushaoyinshenjing
足太阳	zutaiyang
足太阳膀胱经	zutaiyangpangguangjing
足太阴	zutaiyin
足太阴脾经	zutaiyinpijing
足通谷	zutonggu
足通谷穴	zutongguxue
足五里	zuwuli
足五里穴	zuwulixue
足阳明	zuyangming
足阳明胃经	zuyangmingweijing
醉点	zuidian
坐骨神经	zuogushenjing
阿洪病	ahongbing
阿克卡环	akekahuan
阿米巴病	amibabing
阿米巴肺脓肿	amibafeinongzhong
阿尼齐科夫细胞	aniqikefuxibao
阿佩尔综合征	apeierzonghezheng
阿曲库铵	aqukuan
阿绍夫小体	ashaofuxiaoti
阿魏	awei
阿魏侧耳	aweiceer
阿育魏实	ayuweishi
阿月浑子	ayuehunzi
艾宾豪斯错觉	aibinhaosicuojue
埃伯内腺	aiboneixian
埃伯内线	aiboneixian
矮醋栗	aiculi
矮地茶	aidicha
矮地茶藜芦	aidichalilu
嗳腐	aifu
艾附暖宫丸	aifunuangongwan
艾蒿	aihao
艾虎	aihu
癌基因	aijiyin
矮脚苦蒿	aijiaokuhao
矮脚龙胆	aijiaolongdan
矮脚罗伞	aijiaoluosan
矮脚南	aijiaonan
埃蕾	ailei
埃利森综合征	ailisenzonghezheng
埃利希侧链学说	ailixicelianxueshuo
矮柳穿鱼	ailiuchuanyu
艾默夹板	aimojiaban
艾纳香	ainaxiang
艾纳香根	ainaxianggen
癌胚抗原	aipeikangyuan
艾片	aipian
嗳气吞酸	aiqitunsuan
癌前病变	aiqianbingbian
癌肉瘤	airouliu
艾实	aishi
艾条	aitiao
矮陀陀	aituotuo
矮卫矛	aiweimao
矮杨梅果	aiyangmeiguo
矮杨梅皮	aiyangmeipi
艾叶	aiye
矮叶书带蕨	aiyeshudaijue
艾叶油	aiyeyou
矮子常山	aizichangshan
按寸不及尺握手不及足	ancunbujichiwoshoubujizu
安多霖胶囊	anduolinjiaonang
按抚法	anfufa
安氟醚	anfumi
安宫牛黄丸	angongniuhuangwan
安徽刺黄柏	anhuicihuangbai
鞍基	anji
氨基蝶呤	anjidieling
氨基丁酸	anjidingsuan
氨基己糖苷酶	anjijitangganmei
氨基酸代谢病	anjisuandaixiebing
氨甲蝶呤	anjiadieling
暗间隙	anjianxi
鞍结节脑膜瘤	anjiejienaomoliu
暗经	anjing
暗鳞鳞毛蕨	anlinlinmaojue
安龙香科科	anlongxiangkeke
安络化纤丸	anluohuaxianwan
鞍区阻滞	anquzuzhi
安全面切盘	anquanmianqiepan
暗色丝孢霉病	ansesibaomeibing
鞍上脑膜瘤	anshangnaomoliu
安神丸	anshenwan
暗视场显微镜	anshichangxianweijing
暗视觉	anshijue
暗示性	anshixing
暗适应	anshiying
