安永	anyong
近藤义武	jintengyiwu
京极高次	jingjigaoci
京极高吉	jingjigaoji
京极高知	jingjigaozhi
京极龙子	jingjilongzi
九鬼广隆	jiuguiguanglong
九鬼守隆	jiuguishoulong
九户政实	jiuhuzhengshi
九州征伐	jiuzhouzhengfa
久武亲信	jiuwuqinxin
久武亲直	jiuwuqinzhi
酒井忠次	jiujingzhongci
臼杵俭速	jiuchujiansu
菊姬	juji
崛立直正	juelizhizheng
崛内氏善	jueneishishan
崛尾忠氏	jueweizhongshi
崛直政	juezhizheng
骏河	junhe
口羽通良	kouyutongliang
堀秀治	kuxiuzhi
堀越公方	kuyuegongfang
来岛通总	laidaotongzong
濑田扫部	laitiansaobu
里见义弘	lijianyihong
里见义康	lijianyikang
里见义赖	lijianyilai
立花道雪	lihuadaoxue
立原久纲	liyuanjiugang
利休七哲	lixiuqizhe
栗林政赖	lilinzhenglai
蛎崎季广	liqijiguang
蛎崎庆广	liqiqingguang
笠原政尧	liyuanzhengyao
镰仓公方	liancanggongfang
镰仓御所	liancangyusuo
林崎甚助	linqishenzhu
林通胜	lintongsheng
林秀贞	linxiuzhen
铃木元信	lingmuyuanxin
铃木重朝	lingmuzhongchao
铃木佐大夫	lingmuzuodaifu
留守政景	liushouzhengjing
柳生兵库助	liushengbingkuzhu
柳生十兵卫	liushengshibingwei
柳原户兵卫	liuyuanhubingwei
六角承祯	liujiaochengzhen
六角定赖	liujiaodinglai
六角高赖	liujiaogaolai
六角义贤	liujiaoyixian
六角义治	liujiaoyizhi
龙造寺家就	longzaosijiajiu
龙造寺信周	longzaosixinzhou
龙造寺长信	longzaosichangxin
龙造寺政家	longzaosizhengjia
泷本寺非有	longbensifeiyou
泷川雄利	longchuanxiongli
泷川益重	longchuanyizhong
笼手田安经	longshoutiananjing
笼手田安一	longshoutiananyi
芦名盛隆	lumingshenglong
芦名盛氏	lumingshengshi
芦名盛兴	lumingshengxing
芦名盛重	lumingshengzhong
陆奥	luao
吕宋助左卫门	lvsongzhuzuoweimen
毛利胜永	maolishengyong
毛利新助	maolixinzhu
毛利秀广	maolixiuguang
毛利重能	maolizhongneng
毛受胜照	maoshoushengzhao
梅岳承芳	meiyuechengfang
美浓	meinong
美作	meizuo
祢寝重长	miqinzhongchang
明石全登	mingshiquandeng
明应之变	mingyingzhibian
