平衡平面	pinghengpingmian
平衡质量	pinghengzhiliang
平衡转速	pinghengzhuansu
评价与决策	pingjiayujuece
平均压力角	pingjunyalijiao
平均应力	pingjunyingli
平均中径	pingjunzhongjing
平面	pingmian
平面副	pingmianfu
平面机构	pingmianjigou
平面连杆机构	pingmianlianganjigou
平面磨削	pingmianmoxue
平面凸轮机构	pingmiantulunjigou
平面运动副	pingmianyundongfu
平面轴斜齿轮	pingmianzhouxiechilun
平行两直线	pingxingliangzhixian
平行投影法	pingxingtouyingfa
坡口面角度	pokoumianjiaodu
坡口深度	pokoushendu
剖切线	pouqiexian
剖视图	poushitu
普通平键	putongpingjian
气动机构	qidongjigou
气动夹紧	qidongjiajin
起动阶段	qidongjieduan
启动力矩	qidongliju
起模斜度	qimoxiedu
起升机构	qishengjigou
起始啮合点	qishiniehedian
起始圆直径	qishiyuanzhijing
其他常用机构	qitachangyongjigou
气体轴承	qitizhoucheng
奇异位置	qiyiweizhi
起重量	qizhongliang
铅垂面	qianchuimian
前刀面	qiandaomian
千分尺	qianfenchi
钳工	qiangong
前角	qianjiao
嵌入键	qianrujian
切齿深度	qiechishendu
切线	qiexian
切削深度	qiexiaoshendu
球刀	qiudao
球面副	qiumianfu
球面滚子	qiumiangunzi
球面渐开线	qiumianjiankaixian
球销副	qiuxiaofu
球轴承	qiuzhoucheng
球坐标操作器	qiuzuobiaocaozuoqi
曲柄	qubing
曲柄存在条件	qubingcunzaitiaojian
曲柄导杆机构	qubingdaoganjigou
曲柄滑块机构	qubinghuakuaijigou
曲柄摇杆机构	qubingyaoganjigou
曲齿锥齿轮	quchizhuichilun
驱动力	qudongli
驱动力矩	qudongliju
曲率	qulv
曲面从动件	qumiancongdongjian
曲线拼接	quxianpinjie
全齿高	quanchigao
全剖视图	quanpoushitu
全跳动	quantiaodong
热处理	rechuli
热加工	rejiagong
人字齿轮	renzichilun
熔核直径	ronghezhijing
冗余自由度	rongyuziyoudu
柔轮	roulun
柔性冲击	rouxingchongji
柔性自动化	rouxingzidonghua
润滑	runhua
润滑剂	runhuaji
润滑装置	runhuazhuangzhi
三号图纸	sanhaotuzhi
三角形花键	sanjiaoxinghuajian
三角形螺纹	sanjiaoxingluowen
三维凸轮	sanweitulun
三相交流电	sanxiangjiaoliudian
三心定理	sanxindingli
砂漏	shalou
砂轮	shalun
砂轮越程槽	shalunyuechengcao
上旋杆	shangxuangan
上隅角	shangyujiao
少齿差行星传动	shaochichaxingxingchuandong
设计变量	shejibianliang
深沟球轴承	shengouqiuzhoucheng
渗碳	shentan
生产阻力	shengchanzuli
升程	shengcheng
升距	shengju
施工电梯	shigongdianti
实际廓线	shijikuoxian
实际啮合线	shijiniehexian
视图	shitu
失效	shixiao
十字槽沉头螺钉	shizicaochentouluoding
十字滑块联轴器	shizihuakuailianzhouqi
十字结联轴节	shizijielianzhoujie
手动换向阀液压泵站	shoudonghuanxiangfayeyabengzhan
输出功	shuchugong
输出构件	shuchugoujian
输出机构	shuchujigou
输出力矩	shuchuliju
数控精车	shukongjingche
输入构件	shurugoujian
数学模型	shuxuemoxing
双滑块机构	shuanghuakuaijigou
双列轴承	shuangliezhoucheng
双曲柄机构	shuangqubingjigou
双头螺柱	shuangtouluozhu
双万向联轴节	shuangwanxianglianzhoujie
双向推力轴承	shuangxiangtuilizhoucheng
双摇杆机构	shuangyaoganjigou
双折线	shuangzhexian
双转块机构	shuangzhuankuaijigou
水平投影面	shuipingtouyingmian
伺服电机	cifudianji|sifudianji
四杆机构	siganjigou
丝杠	sigang
四号图纸	sihaotuzhi
松边	songbian
速度波动	sudubodong
速度不均匀波动系数	sudubujunyunbodongxishu
速度曲线	suduquxian
速度瞬心	sudushunxin
塑性变形	suxingbianxing
缩小比例	suoxiaobili
塔吊班	tadiaoban
塔吊塔式起重机	tadiaotashiqizhongji
塔轮	talun
太阳轮	taiyanglun
弹簧	tanhuang
弹性滑动	tanxinghuadong
弹性联轴器	tanxinglianzhouqi
弹性套柱销联轴器	tanxingtaozhuxiaolianzhouqi
镗床	tangchuang
套架	taojia
套筒	taotong
特殊运动链	teshuyundonglian
特性	texing
替代机构	tidaijigou
提升运输	tishengyunshu
梯形螺纹	tixingluowen
跳动位置公差	tiaodongweizhigongcha
调速电动机	tiaosudiandongji
调速器	tiaosuqi
调心滚子轴承	tiaoxingunzizhoucheng
调心球轴承	tiaoxinqiuzhoucheng
调心轴承	tiaoxinzhoucheng
调压调速	tiaoyatiaosu
调质	tiaozhi|diaozhi
铁磁流体密封	tieciliutimifeng
铁拉杆	tielagan
停车阶段	tingchejieduan
同步带	tongbudai
同步带传动	tongbudaichuandong
同轴度	tongzhoudu
透老控	toulaokong
透老巷	toulaoxiang
投影	touying
投影轴	touyingzhou
凸轮	tulun
凸轮倒置机构	tulundaozhijigou
凸轮机构	tulunjigou
凸轮廓线	tulunkuoxian
凸轮廓线绘制	tulunkuoxianhuizhi
凸轮理论廓线	tulunlilunkuoxian
凸面符号	tumianfuhao
凸面体	tumianti
图样	tuyang
凸缘联轴器	tuyuanlianzhouqi
推程	tuicheng
退刀槽	tuidaocao
退火	tuihuo
推力球轴承	tuiliqiuzhoucheng
推力轴承	tuilizhoucheng
脱碳	tuotan
瓦检员	wajianyuan
瓦斯检查员	wasijianchayuan
瓦斯排版	wasipaiban
外齿轮	waichilun
外螺纹	wailuowen
外形尺寸	waixingchicun
外圆磨削	waiyuanmoxue
弯曲应力	wanquyingli
万向联轴器	wanxianglianzhouqi
完整花键长度	wanzhenghuajianchangdu
往复式密封	wangfushimifeng
往复移动	wangfuyidong
网上设计	wangshangsheji
微动螺旋机	weidongluoxuanji
位移	weiyi
位移曲线	weiyiquxian
位置度	weizhidu
位置公差	weizhigongcha
位姿	weizi
稳定性	wendingxing
稳定运转阶段	wendingyunzhuanjieduan
稳健设计	wenjiansheji
蜗杆	wogan
蜗杆传动机构	woganchuandongjigou
蜗杆头数	wogantoushu
蜗杆蜗轮	woganwolun
蜗杆蜗轮机构	woganwolunjigou
蜗杆形凸轮步进机构	woganxingtulunbujinjigou
蜗杆旋向	woganxuanxiang
蜗杆直径系数	woganzhijingxishu
蜗轮	wolun
涡圈形盘簧	woquanxingpanhuang
误差的敏感方向	wuchademinganfangxiang
无级变速装置	wujibiansuzhuangzhi
无声链	wushenglian
铣床	xichuang
铣刀	xidao
细点画线	xidianhuaxian
细实线	xishixian
细双点画线	xishuangdianhuaxian
铣削	xixiao
细虚线	xixuxian
细牙螺纹	xiyaluowen
下隅角	xiayujiao
现场平衡	xianchangpingheng
线轮廓度	xianlunkuodu
限期整改时间	xianqizhenggaishijian
相对间隙	xiangduijianxi
相贯线	xiangguanxian
相交两直线	xiangjiaoliangzhixian
橡胶弹簧	xiangjiaotanhuang
向视图	xiangshitu
相同焊缝数量符号	xiangtonghanfengshuliangfuhao
相图	xiangtu
向心力	xiangxinli
向心轴承	xiangxinzhoucheng
巷修队	xiangxiudui
小齿轮	xiaochilun
小径	xiaojing
谐波齿轮	xiebochilun
谐波传动	xiebochuandong
斜齿圆柱齿轮	xiechiyuanzhuchilun
斜二轴测图	xieerzhoucetu
