阿达马变换	adamabianhuan
电子外业手簿	dianziwaiyeshoubu
电子显微摄影测量	dianzixianweisheyingceliang
电子相关	dianzixiangguan
电子印象机	dianziyinxiangji
电子印像机	dianziyinxiangji
吊锤投影	diaochuitouying
叠标线	diebiaoxian
叠幅	diefu
叠加	diejia
叠栅条纹图	diezhatiaowentu
叠印	dieyin
顶板测点	dingbancedian
定测	dingce
顶管测量	dingguanceliang
定深扫海	dingshensaohai
定位标记	dingweibiaoji
定位点间距	dingweidianjianju
定位检索	dingweijiansuo
定位统计图表法	dingweitongjitubiaofa
定位系统	dingweixitong
定线测量	dingxianceliang
定向点	dingxiangdian
定向连接测量	dingxianglianjieceliang
定向连接点	dingxianglianjiedian
定向天线	dingxiangtianxian
定向投影	dingxiangtouying
定向误差	dingxiangwucha
定向运动地图	dingxiangyundongditu
定性检索	dingxingjiansuo
定义在	dingyizai
定影	dingying
动画引导	donghuayindao
动画制图	donghuazhitu
冻结壁交圈图	dongjiebijiaoquantu
冻结法施工测量	dongjiefashigongceliang
动力大地测量学	donglidadiceliangxue
动态变量	dongtaibianliang
动态地景仿真	dongtaidejingfangzhen
动态地图	dongtaiditu
动态定位	dongtaidingwei
动态遥感器	dongtaiyaoganqi
东西星等高测时法	dongxixingdenggaoceshifa
杜德森常数	dudesenchangshu
独立交会高程点	dulijiaohuigaochengdian
独立坐标系	dulizuobiaoxi
度盘	dupan
断层位移测量	duancengweiyiceliang
断面仪	duanmianyi
对波长	duibochang
对角目镜	duijiaomujing
对景图	duijingtu
对流层折射改正	duiliucengzheshegaizheng
对数尺	duishuchi
对物距在	duiwujuzai
对中杆	duizhonggan
多倍仪	duobeiyi
多边形地图	duobianxingditu
多边形结构	duobianxingjiegou
多边形平差法	duobianxingpingchafa
多波束测深	duoboshuceshen
多波束测深系统	duoboshuceshenxitong
多层结构	duocengjiegou
多级纠正	duojijiuzheng
多焦点投影	duojiaodiantouying
多角高程导线	duojiaogaochengdaoxian
多里斯系统	duolisixitong
多路径效应	duolujingxiaoying
多媒体地图	duomeitiditu
多年平均海面	duonianpingjunhaimian
多谱段扫描仪	duopuduansaomiaoyi
多谱段摄影	duopuduansheying
多谱段摄影机	duopuduansheyingji
多谱段遥感	duopuduanyaogan
多普勒单点定位	duopuledandiandingwei
多普勒短弧法定位	duopuleduanhufadingwei
多普勒计数	duopulejishu
多普勒联测定位	duopuleliancedingwei
多普勒声呐	duopuleshengna
多时相分析	duoshixiangfenxi
多时相遥感	duoshixiangyaogan
多星等高法	duoxingdenggaofa
多用途地籍	duoyongtudiji
多余观测	duoyuguance
多圆锥投影	duoyuanzhuitouying
厄特沃什效应	etewoshixiaoying
二倍照准部互差	erbeizhaozhunbuhucha
二倍照准差	erbeizhaozhuncha
二者可互换	erzhekehuhuan
二值图像	erzhituxiang
法方程	fafangcheng
发光二极管	faguangerjiguan
法截面	fajiemian
