阿尔都塞	aerdusai
慧文	huiwen
回忆说	huiyishuo
毁誉之名	huiyuzhiming
慧远	huiyuan
会众合一	huizhongheyi
惠子	huizi
浑沌	hundun
浑论	hunlun
魂魄	hunpo
魂气	hunqi
浑天说	huntianshuo
魂知	hunzhi
火不热	huobure
获得幸福	huodexingfu
活动能力	huodongnengli
祸福相倚	huofuxiangyi
霍克海默	huokehaimo
火气一也	huoqiyiye
或使	huoshi
火一元论	huoyiyuanlun
火运水火	huoyunshuihuo
汲黯	jian
基本矛盾	jibenmaodun
基本内核	jibenneihe
基本取向	jibenquxiang
基本问题	jibenwenti
激变论	jibianlun
吉藏	jicang
姬旦	jidan
疾得成佛	jidechengfo
即动而求静	jidongerqiujing
基督教神学	jidujiaoshenxue
基督教神学观念	jidujiaoshenxueguannian
基督教文论	jidujiaowenlun
极而反	jierfan
机锋	jifeng
极高明而道中庸	jigaomingerdaozhongyong
既济	jiji
积渐	jijian
积久贯通	jijiuguantong
嵇康	jikang
极乐世界	jileshijie
季梁	jiliang
济两明一	jiliangmingyi
季路	jilu
即民见天	jiminjiantian
即其本体	jiqibenti
讥诮嘲讽	jiqiaochaofeng
极权主义国家	jiquanzhuyiguojia
计然	jiran
鸡三足	jisanzu
继善成性	jishanchengxing
即身成佛	jishenchengfo
极深究几	jishenjiuji
稽实定数	jishidingshu
嵇叔夜	jishuye
积水成渊	jishuichengyuan
己所不欲	jisuobuyu
基提翁的芝诺	jitiwengdezhinuo
积土成山	jituchengshan
即万物之自虚	jiwanwuzhizixu
极微	jiwei
即物穷理	jiwuqiongli
即物实测	jiwushice
机心	jixin
疾虚妄	jixuwang
寄言出意	jiyanchuyi
集义所生	jiyisuosheng
济有者皆有	jiyouzhejieyou
己欲达而达人	jiyudaerdaren
己欲立而立人	jiyulierliren
季真	jizhen
及知而后知	jizhierhouzhi
寂知揭体	jizhijieti
嵇中散	jizhongsan
架构	jiagou
贾逵	jiakui
假名	jiaming
贾思勰	jiasixie
假物	jiawu
假象见意	jiaxiangjianyi
贾谊	jiayi|guyi
加一倍法	jiayibeifa
假有	jiayou
兼爱	jianai
坚白同异	jianbaitongyi
兼别	jianbie
减担	jiandan
见独	jiandu
见分	jianfen
渐化	jianhua
见利思义	jianlisiyi
见理于事	jianliyushi
兼名	jianming
减少兽性	jianshaoshouxing
鉴识	jianshi
健顺	jianshun
见体	jianti
渐悟	jianwu
见侮不辱	jianwuburu
见贤思齐	jianxiansiqi
兼相爱	jianxiangai
间相胜	jianxiangsheng
践形	jianxing
见性成佛	jianxingchengfo
兼以易别	jianyiyibie
贱有	jianyou
鉴真	jianzhen
江藩	jiangfan
蒋介石	jiangjieshi
讲课笔记	jiangkebiji
江天骥	jiangtianji
蒋维乔	jiangweiqiao
焦竑	jiaohong
交会地	jiaohuidi
交轮几	jiaolunji
教条主义	jiaotiaozhuyi
交相利	jiaoxiangli
教相判释	jiaoxiangpanshi
教学方法	jiaoxuefangfa
教学过程	jiaoxueguocheng
教学理论	jiaoxuelilun
教学思想	jiaoxuesixiang
焦循	jiaoxun
解蔽	jiebi
洁宫	jiegong
阶级斗争	jiejidouzheng
阶级分析法	jiejifenxifa
阶级结构	jiejijiegou
阶级性	jiejixing
阶级意识	jiejiyishi
戒律	jielv
桀溺	jieni
竭天成能	jietianchengneng
解脱	jietuo
接习	jiexi
解衣般礴	jieyibanbo
节用	jieyong
接舆	jieyu
节欲反性	jieyufanxing
节葬	jiezang
接子	jiezi
尽地力	jindili
金刚智	jingangzhi
禁攻寝兵	jingongqinbing
进化论	jinhualun
尽见	jinjian
金履祥	jinlvxiang
今日适越而昔来	jinrishiyueerxilai
尽善尽美	jinshanjinmei
尽天地古今皆二	jintiandigujinjieer
尽心知性	jinxinzhixing
尽性	jinxing
禁欲主义	jinyuzhuyi
金岳霖	jinyuelin
敬德保民	jingdebaomin
静笃	jingdu
京房	jingfang
静观	jingguan
敬鬼神而远之	jingguisheneryuanzhi
净化	jinghua
经济斗争	jingjidouzheng
经济范畴	jingjifanchou
经济基础	jingjijichu
经济哲学	jingjizhexue
境界	jingjie
敬静工夫	jingjinggongfu
精气	jingqi
经权	jingquan
精神	jingshen
精神居形体	jingshenjuxingti
精神科学	jingshenkexue
精神修养	jingshenxiuyang
经世应务	jingshiyingwu
经世致用	jingshizhiyong
精爽	jingshuang
净土	jingtu
静为躁君	jingweizaojun
经学即理学	jingxuejilixue
经验	jingyan
经验论	jingyanlun
经验主义	jingyanzhuyi
惊异感	jingyigan
精义入神以致用	jingyirushenyizhiyong
静因之道	jingyinzhidao
经院派	jingyuanpai
经院哲学	jingyuanzhexue
静则生慧	jingzeshenghui
境者心造	jingzhexinzao
景中情	jingzhongqing
九经	jiujing
究竟觉	jiujingjue
九句因	jiujuyin
鸠摩罗什	jiumoluoshen
九品莲台	jiupinliantai
九守	jiushou
九思	jiusi
九天	jiutian
居安思危	juansiwei
举本统末	jubentongmo
矩不方	jubufang
俱分进化	jufenjinhua
居敬	jujing
具体而微	jutierwei
举一反三	juyifansan
绝待	juedai
绝地天通	jueditiantong
绝对不会	jueduibuhui
绝对真理	jueduizhenli
绝迹玄会	juejixuanhui
绝仁弃义	juerenqiyi
绝圣弃智	jueshengqizhi
绝羡欲	juexianyu
觉性	juexing
觉照	juezhao
君臣共治	junchengongzhi
君臣无常位	junchenwuchangwei
均衡论	junhenglun
君火	junhuo
君民一体	junminyiti
君权神授	junquanshenshou
君为天下之大害	junweitianxiazhidahai
君相道合	junxiangdaohe
君形者	junxingzhe
君子喻于义	junziyuyuyi
开明自营	kaimingziying
开物成务	kaiwuchengwu
康南海	kangnanhai
康僧会	kangsenghui
康有为	kangyouwei
康与之	kangyuzhi
考茨基	kaociji
克堤拉斯篇	kedilasipian
科尔施	keershi
客观实在性	keguanshizaixing
客观唯心主义	keguanweixinzhuyi
克己复礼	kejifuli
克己尽物	kejijinwu
克雷安德	keleiande
克力同篇	kelitongpian
科林斯	kelinsi
克吕西波	kelvxibo
可能性	kenengxing
克勤	keqin
科西克	kexike
客形	kexing
科学的人生观	kexuederenshengguan
科学神	kexueshen
科学实验的方法	kexueshiyandefangfa
科学性	kexuexing
科学与玄学论战	kexueyuxuanxuelunzhan
科学之科学	kexuezhikexue
可知论	kezhilun
孔安国	konganguo
孔穿	kongchuan
孔鲋	kongfu
孔伋	kongji
孔丘	kongqiu
空想社会主义	kongxiangshehuizhuyi
孔颜乐处	kongyanlechu
孔颖达	kongyingda
