三角髻	sanjiaoji
三节裙	sanjiequn
三翟	sanzhai
三髽	sanzhua
缫缟	saogao
僧服	sengfu
僧伽黎	senggali
沙滩装	shatanzhuang
纱帽	shamao
山龙	shanlong
山冕	shanmian
山水纳	shanshuina
商代发式	shangdaifashi
少彩	shaocai
畲族服饰	shezufushi
深衣	shenyi
绳菲	shengfei
十二章纹	shierzhangwen
十字髻	shiziji
石黛	shidai
石榴裙	shiliuqun
时世妆	shishizhuang
时装	shizhuang
饰妆	shizhuang
饰装	shizhuang
收音机帽	shouyinjimao
收皱裥	shouzhoujian
手臂袋	shoubidai
手绘	shouhui
手绘服装	shouhuifuzhuang
手笼	shoulong
手套	shoutao
手筒	shoutong
首铠	shoukai
兽头	shoutou
梳头衣	shutouyi
术士冠	shushiguan
竖领	shuling
衰经	shuaijing
双垂环髻	shuangchuihuanji
双垂髻	shuangchuiji
双裆衬裤	shuangdangchenku
双刀髻	shuangdaoji
双环高髻	shuanghuangaoji
双髻丫	shuangjiya
双角髻	shuangjiaoji
双蟠髻	shuangpanji
双童髻	shuangtongji
双丫髻	shuangyaji
水兵领	shuibingling
水兵帽	shuibingmao
水手领	shuishouling
水田衣	shuitianyi
水族服饰	shuizufushi
睡袋	shuidai
睡衣	shuiyi
四边净	sibianjing
四角方巾	sijiaofangjin
四脚	sijiao
四周巾	sizhoujin
苏公笠	sugongli
苏广成衣	suguangchengyi
素纱禅衣	sushachanyi
绥组之裴	suizuzhipei
碎妆	suizhuang
琐伏	suofu
锁边	suobian
锁甲	suojia
锁子甲	suozijia
塔式裙	tashiqun
獭皮冠	tapiguan
蹋鸱	tachi
太清氅	taiqingchang
太阳裤	taiyangku
太阳能帽	taiyangnengmao
昙笼	tanlong
唐装	tangzhuang
桃花面	taohuamian
套肩袖	taojianxiu
套裤	taoku
套裤袖	taokuxiu
套衫	taoshan
套式皮鞋	taoshipixie
特种服装	tezhongfuzhuang
藤衣	tengyi
啼妆	tizhuang
田鸡裤	tianjiku
挑心髻	tiaoxinji
贴花袋	tiehuadai
铁冠	tieguan
铁甲	tiejia
铁笠冠	tieliguan
铁衣	tieyi
铁柱	tiezhu
通裙	tongqun
通天冠	tongtianguan
通心锦	tongxinjin
铜盆领	tongpenling
铜盆帽	tongpenmao
铜胄	tongzhou
童装	tongzhuang
童子帻	tongzize
统裙	tongqun
桶裙	tongqun
筒裤	tongku
筒帽	tongmao
筒帕	tongpa
筒裙	tongqun
筒袖铠	tongxiukai
头盖	tougai
头盔	toukui
头鍪	toumou
突骑帽	tuqimao
土族服饰	tuzufushi
吐麻克	tumake
团冠	tuanguan
团衫	tuanshan
褖衣	tuanyi
腿绷	tuibeng
挖袋	wadai
瓦楞帽	walengmao
袜肚	wadu
袜子	wazi
弯月眉	wanyuemei
晚会服装	wanhuifuzhuang
王冠	wangguan
网巾	wangjin
危冠	weiguan
围瀺	weichan
围巾	weijin
围巾领	weijinling
帷帽	weimao
帷裳	weishang
委貌	weimao
温帽	wenmao
文公帕	wengongpa
文化衫	wenhuashan
倭堕髻	woduoji
乌角巾	wujiaojin
乌巾	wujin
乌克兰衫	wukelanshan
乌蛮髻	wumanji
乌帽	wumao
乌纱帽	wushamao
乌毡帽	wuzhanmao
无垢衣	wugouyi
无畏衣	wuweiyi
无颜帢	wuyanqia
毋追	wuzhui
吴服	wufu
五毒帽	wudumao
五服	wufu
五梁	wuliang
五冕	wumian
五时衣	wushiyi
五章	wuzhang
午达	wuda
武弁	wubian
武冠	wuguan
舞台时装	wutaishizhuang
西汉铁甲	xihantiejia
西式服装	xishifuzhuang
西装	xizhuang
犀甲	xijia
膝裤	xiku
席帽	ximao
霞冠	xiaguan
霞帔	xiapei
下摆	xiabai
夏威夷衫	xiaweiyishan
仙桃巾	xiantaojin
线鞋	xianxie
香港衫	xianggangshan
镶色	xiangse
象邸	xiangdi
象服	xiangfu
消瘦服	xiaoshoufu
绡头	xiaotou
小冠	xiaoguan
小帽	xiaomao
小盘髻	xiaopanji
晓霞妆	xiaoxiazhuang
笑靥	xiaoye
斜红	xiehong
斜裙	xiequn
撷子髻	xieziji
缬子髻	xieziji
谢公屐	xiegongji
獬豸冠	xiezhiguan
獬豸纹	xiezhiwen
蟹钳领	xieqianling
胸背	xiongbei
胸罩	xiongzhao
休闲服装	xiuxianfuzhuang
绣补	xiubu
绣鞋	xiuxie
绣衣	xiuyi
须坠	xuzhui
恤衫	xushan
煖耳	nuaner
玄紞	xuandan
玄端	xuanduan
玄冠	xuanguan
玄狐服	xuanhufu
玄甲	xuanjia
玄冕	xuanmian
玄制	xuanzhi
旋袄	xuanao
旋裙	xuanqun
血晕妆	xueyunzhuang|xieyunzhuang
压耳帽	yaermao
压发帽	yafamao
压止口	yazhikou
鸦黄	yahuang
鸦髻	yaji
鸭舌帽	yashemao
烟墩帽	yandunmao
燕尾衫	yanweishan
讌服	yanfu
羊肠裙	yangchangqun
洋裁	yangcai
洋服	yangfu
洋装	yangzhuang
腰巾	yaojin
腰裙	yaoqun
腰上黄	yaoshanghuang
腰子	yaozi
瑶族服饰	yaozufushi
野服	yefu
一裹圆	yiguoyuan
一口钟	yikouzhong
一色服	yisefu
一色衣	yiseyi
一统山河	yitongshanhe
一统天和	yitongtianhe
一字巾	yizijin
衣被	yibei
衣工	yigong
衣圭	yigui
衣裳	yishang
衣著	yizhu
医疗袜	yiliaowa
褘衣	huiyi
繄袼	yige
彝族服饰	yizufushi
蚁裳	yishang
义髻	yiji
银甲	yinjia
银衣	yinyi
硬领	yingling
鱼甲	yujia
鱼媚子	yumeizi
褕狄	yudi
褕翟	yuzhai
雨缨	yuying
玉逍遥	yuxiaoyao
玉叶冠	yuyeguan
育克裙	yukequn
浴衣	yuyi
鹬冠	yuguan
鸳鸯履	yuanyanglv
元宝冠	yuanbaoguan
圆顶帽	yuandingmao
圆环椎髻	yuanhuanzhuiji
圆帽	yuanmao
圆装袖	yuanzhuangxiu
缘衣	yuanyi
远山眉	yuanshanmei
远游冠	yuanyouguan
月华裙	yuehuaqun
月棱眉	yuelengmei
月牙边	yueyabian
云肩	yunjian
云巾	yunjin
云纹缉花	yunwenjihua
孕妇服	yunfufu
运动裤	yundongku
运动袜	yundongwa
缊袍	yunpao
藻火	zaohuo
斋冠	zhaiguan
毡帽	zhanmao
毡裘	zhanqiu
旃裘	zhanqiu
展衣	zhanyi
章服	zhangfu
章服制度	zhangfuzhidu
章甫	zhangfu
长鬓	changbin
长冠	changguan
长袍	changpao
长衫	changshan
罩甲	zhaojia
罩袖	zhaoxiu
遮阳帽	zheyangmao
折裥裙	zhejianqun
折角巾	zhejiaojin
折上巾	zheshangjin
赭衣	zheyi
柘袍	zhepao
针迹缉线	zhenjijixian
针神	zhenshen
针织帽	zhenzhimao
针黹	zhenzhi
只孙	zhisun
直掇	zhiduo
直裰	zhiduo
直裙	zhiqun
直身	zhishen
直身裙	zhishenqun
直筒裤	zhitongku
纸甲	zhijia
豸冠	zhiguan
质孙服	zhisunfu
中单	zhongdan
中官帽	zhongguanmao
中裤	zhongku
中山装	zhongshanzhuang
中式服装	zhongshifuzhuang
中性服装	zhongxingfuzhuang
中腰节裙	zhongyaojiequn
忠靖冠	zhongjingguan
重台履	zhongtailv
皱裥裙	zhoujianqun
朱绂	zhufu
朱衣	zhuyi
珠履	zhulv
诸葛巾	zhugejin
诸于	zhuyu
竹皮冠	zhupiguan
竹叶冠	zhuyeguan
竹衣	zhuyi
苎绥	zhusui
柱后	zhuhou
妆面	zhuangmian
妆靥	zhuangye
装连袖	zhuanglianxiu
装饰袋	zhuangshidai
壮族服饰	zhuangzufushi
坠马髻	zhuimaji
缁布冠	zibuguan
缁撮	zicuo
缁衣	ziyi
子衿	zijin
紫绂	zifu
紫衫	zishan
棕衣	zongyi
足衣	zuyi
组合服装	zuhefuzhuang
组缨	zuying
蕞角巾	zuijiaojin
醉妆	zuizhuang
遵王履	zunwanglv
繜衣	zunyi
左衽	zuoren
作裙	zuoqun
八分裤	bafenku
摆衩	baicha
包边布	baobianbu
包布扣	baobukou
背衩	beicha
背缝	beifeng
背开衩	beikaicha
背宽	beikuan
背中缝	beizhongfeng
臂围	biwei
扁机领	bianjiling
驳头	botou
布衬	buchen
侧摆衩	cebaicha
侧缝	cefeng
衬布	chenbu
打裥	dajian
打褶	dazhe
大裆	dadang
袋布	daibu
袋高	daigao
袋口	daikou
袋宽	daikuan
袋贴	daitie
担干	dangan
单车裤	dancheku
刀背缝	daobeifeng
低腰裤	diyaoku
吊钟	diaozhong
定型带	dingxingdai
肚省	dusheng
短裤	duanku
短裙	duanqun
短袖	duanxiu
耳仔	erzai
翻脚口	fanjiaokou
翻门襟	fanmenjin
凤眼	fengyan
辅料	fuliao
高腰裤	gaoyaoku
工字褶	gongzizhe
褂面	guamian
过肩	guojian
黑炭衬	heitanchen
横裆	hengdang
横开领	hengkailing
后背宽	houbeikuan
后搭门	houdamen
后裆	houdang
后裆缝	houdangfeng
后幅	houfu
后肩省	houjiansheng
后浪	houlang
后领深	houlingshen
后领省	houlingsheng
后片	houpian
后腰省	houyaosheng
后育克	houyuke
后中长	houzhongchang
花边	huabian
活褶	huozhe
鸡眼	jiyan
及膝裙	jixiqun
夹克	jiake
夹圈	jiaquan
夹条	jiatiao
夹围	jiawei
肩宽	jiankuan
肩省	jiansheng
肩章	jianzhang
脚口	jiaokou
介英	jieying
借肩	jiejian
九分裤	jiufenku
口袋	koudai
裤耳	kuer
裤裥	kujian
裤脚口	kujiaokou
裤袢	kupan
裤腰	kuyao
裤腰省	kuyaosheng
裤长	kuchang
裤子	kuzi
捆条	kuntiao
老板裤	laobanku
里布	libu
里衬	lichen
里料	liliao
立扣	likou
立体袋	litidai
两眼扣	liangyankou
领高	linggao
领尖	lingjian
领口省	lingkousheng
领宽	lingkuan
领里	lingli
领面	lingmian
领省	lingsheng
领台	lingtai
领围	lingwei
领窝	lingwo
领坐	lingzuo
六分裤	liufenku
螺纹领	luowenling
马尾衬	maweichen
毛料	maoliao
门抽	menchou
门筒	mentong
棉绳	miansheng
面布	mianbu
面料	mianliao
名片袋	mingpiandai
蘑菇扣	mogukou
呢料	niliao
逆风褶	nifengzhe
钮扣	niukou
钮门	niumen
配色	peise
皮带扣	pidaikou
平纹布	pingwenbu
平眼	pingyan
七分裤	qifenku
七分袖	qifenxiu
牵带	qiandai
前裆	qiandang
前幅	qianfu
前过肩	qianguojian
前肩省	qianjiansheng
前浪	qianlang
前领深	qianlingshen
前片	qianpian
前胸宽	qianxiongkuan
前腰省	qianyaosheng
嵌条	qiantiao
裙裥	qunjian
裙腰	qunyao
