更上一层楼	gengshangyicenglou
金猴奋起千钧棒	jinhoufenqiqianjunbang
停车坐爱枫林晚	tingchezuoaifenglinwan
祸兮福所倚	huoxifusuoyi
大鹏一日同风起	dapengyiritongfengqi
或轻于鸿毛	huoqingyuhongmao
离离原上草	liliyuanshangcao
民可使由之	minkeshiyouzhi
军民团结如一人	junmintuanjieruyiren
闻道有先后	wendaoyouxianhou
极目楚天舒	jimuchutianshu
往来成古今	wanglaichenggujin
本立而道生	benlierdaosheng
桃花潭水深千尺	taohuatanshuishenqianchi
夜来风雨声	yelaifengyusheng
或重于泰山	huozhongyutaishan
国破山河在	guoposhanhezai
玉宇澄清万里埃	yuyuchengqingwanliai
吹尽狂沙始到金	chuijinkuangshashidaojin
其不善者而改之	qibushanzheergaizhi
多少楼台烟雨中	duoshaoloutaiyanyuzhong
风雨不动安如山	fengyubudonganrushan
露从今夜白	lucongjinyebai
运筹帷幄之中	yunchouweiwozhizhong
雏凤清于老凤声	chufengqingyulaofengsheng
截断巫山云雨	jieduanwushanyunyu
不可不察也	bukebuchaye
西出阳关无故人	xichuyangguanwuguren
青山依旧在	qingshanyijiuzai
只要功夫深	zhiyaogongfushen
其作始也简	qizuoshiyejian
除却巫山不是云	chuquewushanbushiyun
稻花香里说丰年	daohuaxianglishuofengnian
上穷碧落下黄泉	shangqiongbiluoxiahuangquan
死者长已矣	sizhechangyiyi
后人哀之而不鉴之	hourenaizhierbujianzhi
欲与天公试比高	yuyutiangongshibigao
白了少年头	baileshaoniantou
以孝治天下	yixiaozhitianxia
待到山花烂漫时	daidaoshanhualanmanshi
莲叶何田田	lianyehetiantian
万类霜天竞自由	wanleishuangtianjingziyou
明年春色倍还人	mingnianchunsebeihairen
月到中秋分外明	yuedaozhongqiufenwaiming
故能成其大	gunengchengqida
装点此关山	zhuangdianciguanshan
一蓑烟雨任平生	yisuoyanyurenpingsheng
人情练达即文章	renqingliandajiwenzhang
长使英雄泪满襟	changshiyingxiongleimanjin
成一家之言	chengyijiazhiyan
庭院深深深几许	tingyuanshenshenshenjixu
欲把西湖比西子	yubaxihubixizi
冲冠一怒为红颜	chongguanyinuweihongyan
见不贤而内自省也	jianbuxianerneizixingye
此情可待成追忆	ciqingkedaichengzhuiyi
两个黄鹂鸣翠柳	lianggehuanglimingcuiliu
手把红旗旗不湿	shoubahongqiqibushi
风翻白浪花千片	fengfanbailanghuaqianpian
三分天下有其二	sanfentianxiayouqier
几度夕阳红	jiduxiyanghong
相见时难别亦难	xiangjianshinanbieyinan
雁点青天字一行	yandianqingtianziyixing
小人喻于利	xiaorenyuyuli
五十知天命	wushizhitianming
祸兮福之所倚	huoxifuzhisuoyi
前不见古人	qianbujianguren
处江湖之远则忧其君	chujianghuzhiyuanzeyouqijun
九万里风鹏正举	jiuwanlifengpengzhengju
其将毕也必巨	qijiangbiyebiju
千门万户曈曈日	qianmenwanhutongtongri
成如容易却艰辛	chengrurongyiquejianxin
无边落木萧萧下	wubianluomuxiaoxiaoxia
小不忍则乱大谋	xiaoburenzeluandamou
徒法不能以自行	tufabunengyizixing
枯藤老树昏鸦	kutenglaoshuhunya
共饮长江水	gongyinchangjiangshui
春色满园关不住	chunsemanyuanguanbuzhu
门泊东吴万里船	menbodongwuwanlichuan
唯有牡丹真国色	weiyoumudanzhenguose
玉不琢不成器	yubuzhuobuchengqi
故人西辞黄鹤楼	gurenxicihuanghelou
红泥小火炉	hongnixiaohuolu
看万山红遍	kanwanshanhongbian
行到水穷处	xingdaoshuiqiongchu
道是无晴却有晴	daoshiwuqingqueyouqing
福兮祸所伏	fuxihuosuofu
此心安处是吾乡	cixinanchushiwuxiang
又食武昌鱼	youshiwuchangyu
明月松间照	mingyuesongjianzhao
吹面不寒杨柳风	chuimianbuhanyangliufeng
凄凄惨惨戚戚	qiqicancanqiqi
两情若是久长时	liangqingruoshijiuchangshi
无可无不可	wukewubuke
凌寒独自开	linghanduzikai
只缘身在最高层	zhiyuanshenzaizuigaoceng
好之者不如乐之者	haozhizheburulezhizhe
商女不知亡国恨	shangnvbuzhiwangguohen
君子成人之美	junzichengrenzhimei
天时不如地利	tianshiburudili
我自横刀向天笑	wozihengdaoxiangtianxiao
把酒话桑麻	bajiuhuasangma
所以动心忍性	suoyidongxinrenxing
地利不如人和	dilibururenhe
不足为外人道也	buzuweiwairendaoye
不可居无竹	bukejuwuzhu
也无风雨也无晴	yewufengyuyewuqing
瓜田不纳履	guatianbunalv
齐鲁青未了	qiluqingweiliao
文章千古事	wenzhangqiangushi
人不堪其忧	renbukanqiyou
我住长江头	wozhuchangjiangtou
家祭无忘告乃翁	jiajiwuwanggaonaiweng
鳏寡孤独废疾者皆有所养	guanguagudufeijizhejieyousuoyang
行拂乱其所为	xingfuluanqisuowei
福兮祸之所伏	fuxihuozhisuofu
天地英雄气	tiandiyingxiongqi
红豆生南国	hongdoushengnanguo
天地有大美而不言	tiandiyoudameierbuyan
天听自我民听	tiantingziwominting
民德归厚矣	mindeguihouyi
水光潋滟晴方好	shuiguanglianyanqingfanghao
回也不改其乐	huiyebugaiqile
草色遥看近却无	caoseyaokanjinquewu
天下谁人不识君	tianxiashuirenbushijun|tianxiasheirenbushijun
后不见来者	houbujianlaizhe
立根原在破岩中	ligenyuanzaipoyanzhong
千秋尚凛然	qianqiushanglinran
引无数英雄竞折腰	yinwushuyingxiongjingzheyao
知之者不如好之者	zhizhizheburuhaozhizhe
亦我所欲也	yiwosuoyuye
看似寻常最奇崛	kansixunchangzuiqijue
复得返自然	fudefanziran
不强人所难	buqiangrensuonan
不亦君子乎	buyijunzihu
东风夜放花千树	dongfengyefanghuaqianshu
我劝天公重抖擞	woquantiangongchongdousou
早有蜻蜓立上头	zaoyouqingtinglishangtou
不知天上宫阙	buzhitianshanggongque
以万物为刍狗	yiwanwuweichugou
人间重晚晴	renjianzhongwanqing|renjianchongwanqing
可以知得失	keyizhideshi
却顾所来径	quegusuolaijing
不患贫而患不安	buhuanpinerhuanbuan
捐躯赴国难	juanqufuguonan
谁持彩练当空舞	shuichicailiandangkongwu
红旗漫卷西风	hongqimanjuanxifeng
樯橹灰飞烟灭	qiangluhuifeiyanmie
无处话凄凉	wuchuhuaqiliang
春城无处不飞花	chunchengwuchubufeihua
结庐在人境	jieluzairenjing
人不知而不愠	renbuzhierbuyun
昔人已乘黄鹤去	xirenyichenghuanghequ
落红不是无情物	luohongbushiwuqingwu
花间一壶酒	huajianyihujiu
力拔山兮气盖世	libashanxiqigaishi
朝辞白帝彩云间	zhaocibaidicaiyunjian|chaocibaidicaiyunjian
国之本在家	guozhibenzaijia
去年元夜时	qunianyuanyeshi
天视自我民视	tianshiziwominshi
此恨绵绵无绝期	cihenmianmianwujueqi
博观而约取	boguaneryuequ
万里长城今犹在	wanlichangchengjinyouzai
乍暖还寒时候	zhanuanhaihanshihou
望庐山瀑布	wanglushanpubu
而无车马喧	erwuchemaxuan
日日思君不见君	ririsijunbujianjun
古今多少事	gujinduoshaoshi
劳心者治人	laoxinzhezhiren
