阿二	A Er
祁天彪	Qi Tian Biao
齐心宝树王	Qi Xin Bao Shu Wang
齐元凯	Qi Yuan Kai
齐云	Qi Yun
祁志诚	Qi Zhi Cheng
齐自勉	Qi Zi Mian
钱二败	Qian Er Bai
钱老本	Qian Lao Ben
乾隆皇帝	Qian Long Huang Di
钱青健	Qian Qing Jian
钱通四	Qian Tong Si
钱正伦	Qian Zheng Lun
乔峰	Qiao Feng
乔福	Qiao Fu
俏鬼	Qiao Gui
乔寨主	Qiao Zhai Zhu
樵子	Qiao Zi
秦栋	Qin Dong
琴儿	Qin Er
秦红棉	Qin Hong Mian
秦娟	Qin Juan
秦老五	Qin Lao Wu
秦耐之	Qin Nai Zhi
秦伟帮	Qin Wei Bang
清风	Qing Feng
晴画	Qing Hua
青灵子	Qing Ling Zi
清虚道人	Qing Xu Dao Ren
丘处机	Qiu Chu Ji
裘千尺	Qiu Qian Chi
裘千仞	Qiu Qian Ren
裘千丈	Qiu Qian Zhang
邱山风	Qiu Shan Feng
曲非烟	Qu Fei Yan
曲三	Qu San
曲傻姑	Qu Sha Gu
曲洋	Qu Yang
全冠清	Quan Guan Qing
泉建男	Quan Jian Nan
全金发	Quan Jin Fa
全强盗	Quan Qiang Dao
人厨子	Ren Chu Zi
任飞燕	Ren Fei Yan
任通武	Ren Tong Wu
任我行	Ren Wo Xing
任盈盈	Ren Ying Ying
荣彩	Rong Cai
容子矩	Rong Zi Ju
柔儿	Rou Er
阮士忠	Ruan Shi Zhong
阮星竹	Ruan Xing Zhu
蕊初	Rui Chu
瑞大林	Rui Da Lin
瑞栋	Rui Dong
瑞芳	Rui Fang
瑞婆婆	Rui Po Po
若克琳	Ruo Ke Lin
萨多	Sa Duo
赛总管	Sai Zong Guan
桑飞虹	Sang Fei Hong
桑结	Sang Jie
桑昆	Sang Kun
桑拉巴	Sang La Ba
丧门鬼	Sang Men Gui
桑三娘	Sang San Niang
桑斯	Sang Si
桑土公	Sang Tu Gong
沙广天	Sha Guang Tian
沙老大	Sha Lao Da
煞神鬼	Sha Shen Gui
