陈洁如	Chenjieru
陈介祺	Chenjieqi
陈金城	Chenjincheng
陈劲松	Chenjinsong
陈景润	Chenjingrun
陈景藻	Chenjingzao
陈婧	Chenjing
陈镜开	Chenjingkai
陈炯明	Chenjiongming
陈鞠旅	Chenjulv
陈菊	Chenju
陈娟红	Chenjuanhong
陈君长	Chenjunchang
陈俊峰	Chenjunfeng
陈俊虹	Chenjunhong
陈俊介	Chenjunjie
陈峻青	Chenjunqing
陈凯歌	Chenkaige
陈克	Chenke
陈克帆	Chenkefan
陈坤	Chenkun
陈鲤庭	Chenliting
陈厉公	Chenligong
陈厉公妫佗	Chenligongguituo
陈立夫	Chenlifu
陈立平	Chenliping
陈立伟	Chenliwei
陈丽醇	Chenlichun
陈丽娜	Chenlina
陈莉莉	Chenlili
陈亮	Chenliang
陈临新	Chenlinxin
陈琳	Chenlin
陈灵公	Chenlinggong
陈灵公妫平国	Chenlinggongguipingguo
陈留王	Chenliuwang
陈留王曹奂	Chenliuwangcaohuan
陈龙	Chenlong
陈鲁豫	Chenluyu
陈玫君	Chenmeijun
陈美琪	Chenmeiqi
陈梦飞	Chenmengfei
陈闵公	Chenmingong
陈闵公妫越	Chenmingongguiyue
陈明	Chenming
陈明川	Chenmingchuan
陈明仁	Chenmingren
陈明远	Chenmingyuan
陈墨	Chenmo
陈墨香	Chenmoxiang
陈木胜	Chenmusheng
陈穆公	Chenmugong
陈穆公妫款	Chenmugongguikuan
陈纳德	Chennade
陈沛	Chenpei
陈佩骐	Chenpeiqi
陈佩斯	Chenpeisi
陈丕显	Chenpixian
陈平	Chenping
陈平公	Chenpinggong
陈平公妫燮	Chenpinggongguixie
陈其迈	Chenqimai
陈其美	Chenqimei
陈启明	Chenqiming
陈蒨	Chenqian
陈乔年	Chenqiaonian
陈庆之	Chenqingzhi
陈去病	Chenqubing
陈铨	Chenquan
陈染	Chenran
陈荣森	Chenrongsen
陈瑞珂	Chenruike
陈若曦	Chenruoxi
陈赛	Chensai
陈赛娟	Chensaijuan
陈绍堂	Chenshaotang
陈申公	Chenshengong
陈申公妫犀侯	Chenshengongguixihou
陈慎公	Chenshengong
陈慎公妫圉戎	Chenshengongguiyurong
陈省身	Chenxingshen
陈胜	Chensheng
陈师曾	Chenshizeng|chenshiceng
陈师道	Chenshidao
陈诗欣	Chenshixin
陈寿	Chenshou
陈叔宝	Chenshubao
陈淑兰	Chenshulan
陈淑琬	Chenshuwan
陈水扁	Chenshuibian
陈顺	Chenshun
陈顺乐	Chenshunle
陈硕贞	Chenshuozhen
陈司翰	Chensihan
陈思思	Chensisi
陈松伶	Chensongling
陈素农	Chensunong
陈素卿	Chensuqing
陈潭秋	Chentanqiu
陈涛	Chentao
陈天华	Chentianhua
陈天桥	Chentianqiao
陈铁	Chentie
陈彤	Chentong
陈抟	Chentuan
陈婉珍	Chenwanzhen
陈望道	Chenwangdao
陈威翰	Chenweihan
陈维崧	Chenweisong
陈伟鸿	Chenweihong
陈伟明	Chenweiming
陈文彬	Chenwenbin
陈文灯	Chenwendeng
陈文帝	Chenwendi
陈文帝陈蒨	Chenwendichenqian
陈文定	Chenwending
陈文公	Chenwengong
陈文公妫圉	Chenwengongguiyu
陈文杞	Chenwenqi
陈文茜	Chenwenqian
陈武	Chenwu
陈武帝	Chenwudi
陈武帝陈霸先	Chenwudichenbaxian
陈武公	Chenwugong
陈武公妫灵	Chenwugongguiling
陈西贝	Chenxibei
陈锡联	Chenxilian
陈锡文	Chenxiwen
陈僖公	Chenxigong
陈僖公妫孝	Chenxigongguixiao
陈曦	Chenxi
陈仙梅	Chenxianmei
陈先奎	Chenxiankui
陈相公	Chenxianggong
陈相公妫皋羊	Chenxianggongguigaoyang
陈小春	Chenxiaochun
陈小艺	Chenxiaoyi
陈晓东	Chenxiaodong
陈晓林	Chenxiaolin
陈晓琦	Chenxiaoqi
陈晓晓	Chenxiaoxiao
陈晓旭	Chenxiaoxu
陈晓焱	Chenxiaoyan
陈孝公	Chenxiaogong
陈孝公妫突	Chenxiaogongguitu
陈孝坤	Chenxiaokun
陈孝年	Chenxiaonian
陈孝荣	Chenxiaorong
陈新全	Chenxinquan
陈新亚	Chenxinya
陈信安	Chenxinan
陈星聚	Chenxingju
陈秀丽	Chenxiuli
陈顼	Chenxu
陈宣帝	Chenxuandi
陈宣帝陈顼	Chenxuandichenxu
陈宣公	Chenxuangong
