阿什哈达摩崖	Ashihadamoya
狮子林	Shizilin
狮子窝琉璃塔	Shiziwoliulita
首都体育馆	Shoudutiyuguan
寿皇殿	Shouhuangdian
首山	Shoushan
瘦西湖	Shouxihu
殊像寺	Shuxiangsi
双林寺	Shuanglinsi
双清别墅	Shuangqingbieshu
双塔	Shuangta
双塔交影	Shuangtajiaoying
双塔岭双塔	Shuangtalingshuangta
双塔山	Shuangtashan
双塔寺	Shuangtasi
水东楼	Shuidonglou
水绘园	Shuihuiyuan
水帘洞	Shuiliandong
水神庙	Shuishenmiao
四大部洲	Sidabuzhou
四林塔	Silinta
司马光墓及祖茔	Simaguangmujizuying
四明公所旧址	Siminggongsuojiuzhi
斯诺墓	Sinuomu
四望亭	Siwangting
四知书屋	Sizhishuwu
松鹤斋	Songhezhai
松江明刻照壁	Songjiangmingkezhaobi
松江清真寺	Songjiangqingzhensi
松江唐经幢	Songjiangtangjingchuang
宋教仁墓	Songjiaorenmu
宋璟碑	Songjingbei
松筠庵	Songjunan
松郡九峰	Songjunjiufeng
宋庆龄故屠	Songqinglinggutu
宋庆龄墓	Songqinglingmu
崧泽古文化遗址	Songzeguwenhuayizhi
苏军烈士纪念塔	Sujunlieshijinianta
宿云檐	Suyunyan
绥远城将军衙署旧址	Suiyuanchengjiangjunyashujiuzhi
孙中山行馆	Sunzhongshanxingguan
塔虎城	Tahucheng
塔营子古城址	Tayingziguchengzhi
塔院寺	Tayuansi
塔子城遗址	Tazichengyizhi
台城	Taicheng
太符观	Taifuguan
太行第一峰	Taihangdiyifeng
泰陵	Tailing
太平天国戴王府	Taipingtianguodaiwangfu
太平天国辅王府	Taipingtianguofuwangfu
太平天国护王府	Taipingtianguohuwangfu
太平天国历史博物馆	Taipingtianguolishibowuguan
太平天国烈士墓	Taipingtianguolieshimu
太平天国天王府遗址	Taipingtianguotianwangfuyizhi
太平无国忠王府	Taipingwuguozhongwangfu
太清宫	Taiqinggong
太山寺	Taishansi
太岁殿	Taisuidian
太王陵	Taiwangling
太阳岛	Taiyangdao
太液池	Taiyechi
弹琴峡	Tanqinxia
潭柘寺	Tanzhesi
唐单于都护府城遗址	Tangchanyuduhufuchengyizhi
汤岗子温泉	Tanggangziwenquan
唐花坞	Tanghuawu
唐陵	Tangling
汤泉	Tangquan
汤山	Tangshan
唐塔	Tangta
汤王庙	Tangwangmiao
唐一岑墓	Tangyicenmu
唐寅墓	Tangyinmu
堂子街太平天国壁画	Tangzijietaipingtianguobihua
陶庵留碧	Taoanliubi
韬奋故居	Taofenguju
陶然亭公园	Taorantinggongyuan
桃温万户府故城	Taowenwanhufugucheng
天安门	Tiananmen
天保城	Tianbaocheng
天津市艺术博物馆	Tianjinshiyishubowuguan
天龙山石窟	Tianlongshanshiku
天马山摩崖石刻	Tianmashanmoyashike
天宁寺	Tianningsi
天宁寺木塔	Tianningsimuta
天宁寺双塔	Tianningsishuangta
天台庵	Tiantaian
天坛	Tiantan
天下第一江山石刻	Tianxiadiyijiangshanshike
天险	Tianxian
铁背山山城	Tiebeishanshancheng
铁铃关	Tielingguan
铁人井	Tierenjing
铁刹山	Tieshashan
铁影壁	Tieyingbi
听鹂馆	Tingliguan
同德殿	Tongdedian
铜牛	Tongniu
铜雀台	Tongquetai
铜亭	Tongting
童子寺燃灯塔	Tongzisirandengta
透雕石牌搂	Toudiaoshipailou
团城演武厅	Tuanchengyanwuting
退翁亭	Tuiwengting
万部华严经塔	Wanbuhuayanjingta
丸都山城	Wandoushancheng
万佛堂石窟	Wanfotangshiku
万固寺	Wangusi
万壑松风	Wanhesongfeng
宛山塔	Wanshanta
万寿富	Wanshoufu
万寿山	Wanshoushan
万寿山昆明湖石碑	Wanshoushankunminghushibei
万树国	Wanshuguo
万松老人塔	Wansonglaorenta
万松寺	Wansongsi
完颜希尹家族墓地	Wanyanxiyinjiazumudi
万忠墓	Wanzhongmu
王德墓	Wangdemu
望都壁画墓	Wangdubihuamu
望儿山	Wangershan
