阿保之劳	abaozhilao
百川归海	baichuanguihai
百川儡海	baichuanleihai
百川之主	baichuanzhizhu
百辞莫辩	baicimobian
拜赐之师	baicizhishi
百挫不折	baicuobuzhe
百代过客	baidaiguoke
百代文宗	baidaiwenzong
拜倒辕门	baidaoyuanmen
败德乱行	baideluanxing
败德辱行	baideruxing
白藋同心	baidiaotongxin
白丁俗客	baidingsuke
百读不厌	baidubuyan
百堵皆兴	baidujiexing
百堵皆作	baidujiezuo
百堵朋兴	baidupengxing
百堵咸作	baiduxianzuo
百端待举	baiduandaiju
百端待理	baiduandaili
百端交集	baiduanjiaoji
百端街举	baiduanjieju
百锻千炼	baiduanqianlian
白鳄长靴	baiechangxue
拜恩私室	baiensishi
百二关河	baierguanhe
百二关山	baierguanshan
百二河山	baierheshan
百二金瓯	baierjinou
百二山川	baiershanchuan
百二山河	baiershanhe
百发百中	baifabaizhong
白发苍苍	baifacangcang
白发苍颜	baifacangyan
白发丹心	baifadanxin
白发红颜	baifahongyan
白发郎潜	baifalangqian
败法乱纪	baifaluanji
白发婆娑	baifaposuo
白发千长	baifaqianchang
白发千丈	baifaqianzhang
白发青衫	baifaqingshan
白发相守	baifaxiangshou
白发朱颜	baifazhuyan
百凡待举	baifandaiju
白饭青刍	baifanqingchu
百废备举	baifeibeiju
百废待举	baifeidaiju
百废待兴	baifeidaixing
百沸滚汤	baifeiguntang
百废俱举	baifeijuju
百废俱兴	baifeijuxing
百废俱修	baifeijuxiu
百废具作	baifeijuzuo
白费力气	baifeiliqi
百废咸举	baifeixianju
百福具臻	baifujuzhen
百夫决拾	baifujueshi
百感交乘	baiganjiaocheng
百感交集	baiganjiaoji
白刚之石	baigangzhishi
败梗飞絮	baigengfeixu
白骨废墟	baigufeixu
白骨荒野	baiguhuangye
白骨露野	baiguluye
白骨熔化	baiguronghua
白骨碎片	baigusuipian
白骨再肉	baiguzairou
白骨之盾	baiguzhidun
白骨之谷	baiguzhigu
败鼓之皮	baiguzhipi
白骨坠子	baiguzhuizi
百怪千奇	baiguaiqianqi
稗官小说	baiguanxiaoshuo
稗官野乘	baiguanyecheng
稗官野史	baiguanyeshi
白圭可磨	baiguikemo
拜鬼求神	baiguiqiushen
白圭之玷	baiguizhidian
百鬼众魅	baiguizhongmei
败国丧家	baiguosangjia
败国亡家	baiguowangjia
白毫银针	baihaoyinzhen
白毫之赐	baihaozhici
捭阖纵横	baihezongheng
白黑不分	baiheibufen
白黑颠倒	baiheidiandao
白黑分明	baiheifenming
白黑混淆	baiheihunxiao
白虹贯日	baihongguanri
白话八股	baihuabagu
百花凋零	baihuadiaoling
百花齐放	baihuaqifang
败化伤风	baihuashangfeng
百花盛开	baihuashengkai
百花生日	baihuashengri
百花争妍	baihuazhengyan
百花争艳	baihuazhengyan
白华之怨	baihuazhiyuan
败坏门风	baihuaimenfeng
败坏门楣	baihuaimenmei
败坏门面	baihuaimenmian
百卉含英	baihuihanying
百堕俱举	baihuijuju
百喙莫辩	baihuimobian
百喙莫辞	baihuimoci
百喙莫明	baihuimoming
百喙难辩	baihuinanbian
百喙难辞	baihuinanci
百卉千葩	baihuiqianpa
百喙如一	baihuiruyi
百喙一词	baihuiyici
白魂头盔	baihuntoukui
百计千方	baijiqianfang
百计千谋	baijiqianmou
百计千心	baijiqianxin
败绩失据	baijishiju
白袷蓝衫	baijialanshan
败家破业	baijiapoye
百家争鸣	baijiazhengming
百家诸子	baijiazhuzi
败将残兵	baijiangcanbing
拜将封侯	baijiangfenghou
败将封侯	baijiangfenghou
败将求和	baijiangqiuhe
败将求活	baijiangqiuhuo
百结愁肠	baijiechouchang
百结鹑衣	baijiechunyi
百结悬鹑	baijiexuanchun
百金买邻	baijinmailin
百金之士	baijinzhishi
败井颓垣	baijingtuiyuan
百举百捷	baijubaijie
百举百全	baijubaiquan
白驹过隙	baijuguoxi
白驹空谷	baijukonggu
白绢斜封	baijuanxiefeng
败军折将	baijunzhejiang
败军之将	baijunzhijiang
掰开揉碎	baikairousui
百孔千疮	baikongqianchuang
百口不辩	baikoububian
败寇成王	baikouchengwang
百口莫辩	baikoumobian
百口难辩	baikounanbian
百口难分	baikounanfen
百口难诉	baikounansu
百口同声	baikoutongsheng
百口奚解	baikouxijie
白蜡明经	bailamingjing
白浪如山	bailangrushan
白狼手套	bailangshoutao
白浪滔天	bailangtaotian
白浪掀天	bailangxiantian
百里风趠	bailifengchuo
百里挑一	bailitiaoyi
百里异习	bailiyixi
百里之才	bailizhicai
百里之命	bailizhiming
百里之任	bailizhiren
百炼成刚	bailianchenggang
百炼成钢	bailianchenggang
百练之钢	bailianzhigang
百两烂盈	bailianglanying
百了千当	bailiaoqiandang|baileqiandang
败鳞残甲	bailincanjia
白霖项链	bailinxianglian
百伶百俐	bailingbaili
百灵百验	bailingbaiyan
白领犯罪	bailingfanzui
百龄眉寿	bailingmeishou
百灵上衣	bailingshangyi
败柳残花	bailiucanhua
百六阳九	bailiuyangjiu
百六之会	bailiuzhihui
白龙皮盔	bailongpikui
白龙微服	bailongweifu
白龙鱼服	bailongyufu
百龙之智	bailongzhizhi
白露凝霜	bailuningshuang
百虑一致	bailvyizhi
百虑攒心	bailvzanxin
百马伐骥	baimafaji
白马缰绳	baimajiangsheng
白马素车	baimasuche
白旄黄钺	baimaohuangyue
白眉赤脸	baimeichilian
白眉赤眼	baimeichiyan
百媚千娇	baimeiqianjiao
百密一疏	baimiyishu
白面儒冠	baimianruguan
白面儒生	baimianrusheng
白面书郎	baimianshulang
白面书生	baimianshusheng
败名失德	baimingshide
百谋千计	baimouqianji
百能百俐	bainengbaili
百年不遇	bainianbuyu
百年大计	bainiandaji
百年大业	bainiandaye
百年到老	bainiandaolao
百年好合	bainianhaohe
百年好事	bainianhaoshi
百念灰冷	bainianhuileng
百念皆灰	bainianjiehui
百念俱冷	bainianjuleng
百年难遇	bainiannanyu
百年树人	bainianshuren
百年偕老	bainianxielao
百年之柄	bainianzhibing
百年之好	bainianzhihao
百年之后	bainianzhihou
百年之欢	bainianzhihuan
百年之业	bainianzhiye
百年之约	bainianzhiyue
百鸟朝凤	bainiaochaofeng
百辟腰饰	baipiyaoshi
百品千条	baipinqiantiao
白帢青衫	baiqiaqingshan
百巧成穷	baiqiaochengqiong
百巧千穷	baiqiaoqianqiong
白朐过隙	baiquguoxi
百犬吠声	baiquanfeisheng
败群之马	baiqunzhima
白热烈焰	bairelieyan
百人百姓	bairenbaixing
百忍成金	bairenchengjin
百人传实	bairenchuanshi
百人附和	bairenfuhe
白日飞升	bairifeisheng
白日见鬼	bairijiangui
白日青天	bairiqingtian
白日上升	bairishangsheng
白日升天	bairishengtian
白日说梦	bairishuomeng
白日绣衣	bairixiuyi
白日衣绣	bairiyixiu
白日做梦	bairizuomeng
白色恐怖	baisekongbu
白沙在涅	baishazainie
白山黑水	baishanheishui
白商素节	baishangsujie
百舍重茧	baishechongjian
百舍重趼	baishechongjian
百舌之声	baishezhisheng
百身何赎	baishenheshu
百身可赎	baishenkeshu
百身莫赎	baishenmoshu
百世不磨	baishibumo
百世不易	baishibuyi
百事大吉	baishidaji
