山高皇帝远	shangaohuangdiyuan
闪闪惹人爱	shanshanrerenai
善意的谎言	shanyidehuangyan
伤心太平洋	shangxintaipingyang
少壮不努力	shaozhuangbunuli
身份证号码	shenfenzhenghaoma
神龙见首不见尾	shenlongjianshoubujianwei
什么意思呢	shenmeyisine
胜读十年书	shengdushinianshu
盛夏的果实	shengxiadeguoshi
生肖守护神	shengxiaoshouhushen
施华洛世奇	shihualuoshiqi
时间不多了	shijianbuduole
时刻准备着	shikezhunbeizhe
世上无难事	shishangwunanshi
世上只有妈妈好	shishangzhiyoumamahao
事实胜于雄辩	shishishengyuxiongbian
石头剪刀布	shitoujiandaobu
书到用时方恨少	shudaoyongshifanghenshao
书剑恩仇录	shujianenchoulu
术业有专攻	shuyeyouzhuangong
树欲静而风不止	shuyujingerfengbuzhi
谁是谁的谁	shuishishuideshei
说句心里话	shuojuxinlihua
私奔到月球	sibendaoyueqiu
死无葬身之地	siwuzangshenzhidi
死猪不怕开水烫	sizhubupakaishuitang
速度与激情	suduyujiqing
岁月不饶人	suiyueburaoren
损人不利己	sunrenbuliji
碳水化合物	tanshuihuahewu
天不怕地不怕	tianbupadibupa
天高皇帝远	tiangaohuangdiyuan
天天好心情	tiantianhaoxinqing
天有不测风云	tianyoubucefengyun
团结就是力量	tuanjiejiushililiang
退而求其次	tuierqiuqici
外国语学院	waiguoyuxueyuan
外面的世界	waimiandeshijie
外滩十八号	waitanshibahao
威尔史密斯	weiershimisi
微观经济学	weiguanjingjixue
唯恐天下不乱	weikongtianxiabuluan
微型计算机	weixingjisuanji
为伊消得人憔悴	weiyixiaoderenqiaocui
温故而知新	wenguerzhixin
问君能有几多愁	wenjunnengyoujiduochou
我爱你宝贝	woainibaobei
我不能没有你	wobunengmeiyouni
我的美女大小姐	wodemeinvdaxiaojie
我都知道了	wodouzhidaole
我对你的爱	woduinideai
怎么说	zenmeshuo
怎么样	zenmeyang
找死	zhaosi
这件事	zhejianshi
这就是我	zhejiushiwo
这么巧	zhemeqiao
这是你吗	zheshinima
这是什么	zheshishenme
这是怎么了	zheshizenmele
这一次	zheyici
真棒	zhenbang
真恶心	zhenexin
真可怜	zhenkelian
真可怕	zhenkepa
真厉害	zhenlihai
真是够了	zhenshigoule
知道	zhidao
知足常乐	zhizuchangle
祝福你	zhufuni
祝你好运	zhunihaoyun
抓紧	zhuajin
总有一天	zongyouyitian
走吧	zouba
做得好	zuodehao
张靖	zhangjing
张元	zhangyuan
