广西水利电力职业技术学院	guangxishuilidianlizhiyejishuxueyuan
广西体育高等专科学校	guangxitiyugaodengzhuankexuexiao
广西演艺职业学院	guangxiyanyizhiyexueyuan
广西医科大学	guangxiyikedaxue
广西艺术学院	guangxiyishuxueyuan
广西职业技术学院	guangxizhiyejishuxueyuan
广州城市职业学院	guangzhouchengshizhiyexueyuan
广州大学	guangzhoudaxue
广州工程技术职业学院	guangzhougongchengjishuzhiyexueyuan
广州华南商贸职业学院	guangzhouhuananshangmaozhiyexueyuan
广州康大职业技术学院	guangzhoukangdazhiyejishuxueyuan
广州科技贸易职业学院	guangzhoukejimaoyizhiyexueyuan
广州美术学院	guangzhoumeishuxueyuan
广州民航职业技术学院	guangzhouminhangzhiyejishuxueyuan
广州体育学院	guangzhoutiyuxueyuan
广州体育职业技术学院	guangzhoutiyuzhiyejishuxueyuan
广州医学院	guangzhouyixueyuan
广州中医药大学	guangzhouzhongyiyaodaxue
桂林电子科技大学	guilindianzikejidaxue
桂林医学院	guilinyixueyuan
贵阳学院	guiyangxueyuan
贵阳中医学院	guiyangzhongyixueyuan
贵州大学	guizhoudaxue
贵州电子信息职业技术学院	guizhoudianzixinxizhiyejishuxueyuan
贵州航天职业技术学院	guizhouhangtianzhiyejishuxueyuan
贵州交通职业技术学院	guizhoujiaotongzhiyejishuxueyuan
贵州轻工职业技术学院	guizhouqinggongzhiyejishuxueyuan
贵州师范大学	guizhoushifandaxue
国防大学	guofangdaxue
国际关系学院	guojiguanxixueyuan
国家会计学院	guojiakuaijixueyuan
国家行政学院	guojiaxingzhengxueyuan
哈尔滨电力职业技术学院	haerbindianlizhiyejishuxueyuan
哈尔滨工程大学	haerbingongchengdaxue
哈尔滨工业大学	haerbingongyedaxue
哈尔滨理工大学	haerbinligongdaxue
哈尔滨商业大学	haerbinshangyedaxue
哈尔滨师范大学	haerbinshifandaxue
哈尔滨体育学院	haerbintiyuxueyuan
哈尔滨铁道职业技术学院	haerbintiedaozhiyejishuxueyuan
哈尔滨学院	haerbinxueyuan
哈尔滨医科大学	haerbinyikedaxue
哈尔滨职业技术学院	haerbinzhiyejishuxueyuan
海南大学	hainandaxue
海南经贸职业技术学院	hainanjingmaozhiyejishuxueyuan
海南师范大学	hainanshifandaxue
海南外国语职业学院	hainanwaiguoyuzhiyexueyuan
海南医学院	hainanyixueyuan
海南政法职业学院	hainanzhengfazhiyexueyuan
海南职业技术学院	hainanzhiyejishuxueyuan
海外教育学院	haiwaijiaoyuxueyuan
邯郸学院	handanxueyuan
邯郸职业技术学院	handanzhiyejishuxueyuan
韩山师范学院	hanshanshifanxueyuan
汉中职业技术学院	hanzhongzhiyejishuxueyuan
航空大学	hangkongdaxue
杭州电子科技大学	hangzhoudianzikejidaxue
杭州科技职业技术学院	hangzhoukejizhiyejishuxueyuan
杭州师范大学	hangzhoushifandaxue
杭州万向职业技术学院	hangzhouwanxiangzhiyejishuxueyuan
杭州职业技术学院	hangzhouzhiyejishuxueyuan
河北北方学院	hebeibeifangxueyuan
河北传媒学院	hebeichuanmeixueyuan
河北大学	hebeidaxue
河北公安警察职业学院	hebeigonganjingchazhiyexueyuan
河北工程大学	hebeigongchengdaxue
河北工业大学	hebeigongyedaxue
河北化工医药职业技术学院	hebeihuagongyiyaozhiyejishuxueyuan
河北机电职业技术学院	hebeijidianzhiyejishuxueyuan
河北建材职业技术学院	hebeijiancaizhiyejishuxueyuan
河北交通职业技术学院	hebeijiaotongzhiyejishuxueyuan
河北金融学院	hebeijinrongxueyuan
河北经贸大学	hebeijingmaodaxue
河北科技大学	hebeikejidaxue
河北科技师范学院	hebeikejishifanxueyuan
河北旅游职业学院	hebeilvyouzhiyexueyuan
河北能源职业技术学院	hebeinengyuanzhiyejishuxueyuan
河北农业大学	hebeinongyedaxue
河北女子职业技术学院	hebeinvzizhiyejishuxueyuan
河北软件职业技术学院	hebeiruanjianzhiyejishuxueyuan
河北师范大学	hebeishifandaxue
河北石油职业技术学院	hebeishiyouzhiyejishuxueyuan
河北司法警官职业学院	hebeisifajingguanzhiyexueyuan
河北体育学院	hebeitiyuxueyuan
河北医科大学	hebeiyikedaxue
河北艺术职业学院	hebeiyishuzhiyexueyuan
河北政法职业学院	hebeizhengfazhiyexueyuan
河池学院	hechixueyuan
合肥共达职业技术学院	hefeigongdazhiyejishuxueyuan
合肥工业大学	hefeigongyedaxue
合肥师范学院	hefeishifanxueyuan
合肥通用职业技术学院	hefeitongyongzhiyejishuxueyuan
