哀公	aigong
大宋重修广韵	dasongchongxiuguangyun
大唐传载	datangchuanzai
大唐开元礼	datangkaiyuanli
大唐西域记	datangxiyuji
大体	dati
大题	dati
大田	datian
大统历志	datonglizhi
大夏侯	daxiahou
大夏侯尚书	daxiahoushangshu
大象略	daxianglue
大小宗通绎	daxiaozongtongyi
大序	daxu
大学	daxue
大学疏义	daxueshuyi
大学问	daxuewen
大学衍义	daxueyanyi
大学衍义补	daxueyanyibu
大学翼真	daxueyizhen
大学章句	daxuezhangju
大学证文	daxuezhengwen
大学中庸集说启蒙	daxuezhongyongjishuoqimeng
大雅	daya
大雅集	dayaji
大衍索隐	dayansuoyin
大易粹言	dayicuiyan
大易缉说	dayijishuo
大易集义粹言	dayijiyicuiyan
大易通解	dayitongjie
大易象数钩深图	dayixiangshugoushentu
大易择言	dayizeyan
大有	dayou
大禹谟	dayumo
大云书库藏书题识	dayunshukucangshutizhi
大传	dazhuan
大壮	dazhuang
大宗师	dazongshi
戴德	daide
戴东原	daidongyuan
带经堂	daijingtang
带经堂书目	daijingtangshumu
戴圣	daisheng
戴氏全书	daishiquanshu
待轩诗记	daixuanshiji
戴延之	daiyanzhi
戴震	daizhen
戴埴	daizhi
待制集	daizhiji
单次	danci
单名	danming
丹铅录	danqianlu
丹铅新录	danqianxinlu
丹铅馀录	danqianyulu
淡然轩集	danranxuanji
澹生堂	danshengtang
澹生堂藏书目	danshengtangcangshumu
丹阳词	danyangci
单鱼尾	danyuwei
啖助	danzhu
碭鲁赐	dangluci
谠论集	danglunji
当为	dangwei
荡之什	dangzhishi|dangzhishen
道德宝章	daodebaozhang
道德经注	daodejingzhu
道德论	daodelun
道德真经口义	daodezhenjingkouyi
道德真经注	daodezhenjingzhu
道德指归论	daodezhiguilun
道古害今	daoguhaijin
道家类	daojialei
道山清话	daoshanqinghua
岛夷志略	daoyizhilue
道应训	daoyingxun
道院集要	daoyuanjiyao
道园学古录	daoyuanxuegulu
道园遗稿	daoyuanyigao
道藏目录详注	daozangmuluxiangzhu
盗跖	daozhi
德充符	dechongfu
得于	deyu
德隅斋画品	deyuzhaihuapin
得之	dezhi
邓邦述	dengbangshu
邓伯羔	dengbogao
邓名世	dengmingshi
等韵	dengyun
等韵丛书	dengyuncongshu
等韵学	dengyunxue
邓子	dengzi
底本	diben
底本式	dibenshi
蝃蝀	didong
帝范	difan
迪功集	digongji
地官	diguan
地脚	dijiao
地理	dili
地理类	dililei
地理略	dililue
地理志	dilizhi
帝命验	dimingyan
禘说	dishuo
帝王经世图谱	diwangjingshitupu
递修本	dixiuben
帝学	dixue
帝验期	diyanqi
第一楼丛书	diyiloucongshu
殿本	dianben
殿阁词林记	diangecilinji
滇考	diankao
典礼	dianli
滇略	dianlue
典制	dianzhi
雕版	diaoban
钓矶立谈	diaojilitan
叠山集	dieshanji
丁白	dingbai
定本	dingben
定本式	dingbenshi
丁丙	dingbing
订补	dingbu
丁度	dingdu
订讹杂录	dingezalu
定法	dingfa
丁鸿	dinghong
丁宽	dingkuan
