鬼子母揭钵记	guizimujieboji
包待制捉旋风	baodaizhizhuoxuanfeng
撇古老沉珠合	piegulaochenzhuhe
苏小卿怨杨柳	suxiaoqingyuanyangliu
王状元扯休书	wangzhuangyuanchexiushu
郑参军蜘蛛记	zhengcanjunzhizhuji
包待制双勘钉	baodaizhishuangkanding
黄鲁直打到底	huangluzhidadaodi
奴杀主因福折福	nushazhuyinfuzhefu
船子和尚四不犯	chuanziheshangsibufan
贺升平群仙祝寿	heshengpingqunxianzhushou
宦门子弟乔吊诨	huanmenzidiqiaodiaohun
襄阳府调狗掉刀	xiangyangfutiaogoudiaodao
卓文君夜奔相如	zhuowenjunyebenxiangru
哀哀怨怨后庭花	aiaiyuanyuanhoutinghua
风流娘子两相宜	fengliuniangziliangxiangyi
明皇村院会佳期	minghuangcunyuanhuijiaqi
危太仆衣锦还乡	weitaipuyijinhuanxiang
双献头武松大报仇	shuangxiantouwusongdabaochou
张解元墙头调莺燕	zhangjieyuanqiangtoutiaoyingyan
阀阅舞射柳蕤丸记	fayuewusheliuruiwanji
伍子胥鞭伏柳盗跖	wuzixubianfuliudaozhi
小二哥大闹查子店	xiaoergedanaochazidian
愚鼓惜气劝世道情	yuguxiqiquanshidaoqing
