按察官	anchaguan
判流内铨	panliuneiquan
判南曹	pannancao
判铨	panquan
判枢密院	panshumiyuan
判院	panyuan
判院事	panyuanshi
皮剥所	pibosuo
起居院	qijuyuan
签书	qianshu
签枢	qianshu
签署	qianshu
签书枢密	qianshushumi
签署院事	qianshuyuanshi
铨曹四选	quancaosixuan
铨司	quansi
三班	sanban
三班院	sanbanyuan
三字	sanzi
删定官	shandingguan
删修官	shanxiuguan
尚书铨	shangshuquan
舍人	sheren
舍人院	sherenyuan
审官东院	shenguandongyuan
审官西院	shenguanxiyuan
审官院	shenguanyuan
省马院	shengmayuan
圣政所	shengzhengsuo
食手	shishou
守阙主事	shouquezhushi
枢长	shuchang
枢贰	shuer
枢副	shufu
枢府	shufu
枢辅	shufu
枢筦	shuguan
枢机之府	shujizhifu
枢近	shujin
枢阃	shukun
书令吏	shulingli
枢密	shumi
枢密承旨	shumichengzhi
枢密副使	shumifushi
枢密使	shumishi
枢密太尉	shumitaiwei
枢密行府	shumixingfu
枢密院	shumiyuan
枢密院事	shumiyuanshi
枢密宰相	shumizaixiang
枢省	shusheng
枢使	shushi
枢属	shushu
枢廷	shuting
枢相	shuxiang
书写人	shuxieren
枢掾	shuyuan
枢院	shuyuan
枢轴	shuzhou
书奏	shuzou
司封告院	sifenggaoyuan
司勋告院	sixungaoyuan
太常礼院	taichangliyuan
堂后官	tanghouguan
堂吏	tangli
堂印	tangyin
提领海船	tilinghaichuan
条例司	tiaolisi
贴房	tiefang
同判院	tongpanyuan
同签书	tongqianshu
同签枢	tongqianshu
同提举官	tongtijuguan
同知枢	tongzhishu
同知枢密	tongzhishumi
同知院	tongzhiyuan
同知院事	tongzhiyuanshi
帷幄	weiwo
五房提点	wufangtidian
五房习学	wufangxixue
西府	xifu
西阁	xige
西审院	xishenyuan
西枢	xishu
习学公事	xixuegongshi
西院	xiyuan
西院主簿	xiyuanzhubu
详定官	xiangdingguan
详定一司	xiangdingyisi
详检官	xiangjianguan
效士	xiaoshi
写宣命	xiexuanming
修起居注	xiuqijuzhu
修注	xiuzhu
选院	xuanyuan
宣旨院	xuanzhiyuan
沿堂五院	yantangwuyuan
沿堂院	yantangyuan
掖垣	yeyuan
一佛出世	yifochushi
印司	yinsi
银司	yinsi
银台	yintai
银台司	yintaisi
右府	youfu
宥府	youfu
宥密	youmi
右史	youshi
宥廷	youting
元枢	yuanshu
宰府	zaifu
掌诰	zhanggao
掌书命	zhangshuming
政记房	zhengjifang
正记房	zhengjifang
政事堂	zhengshitang
政堂	zhengtang
制敕库	zhichiku
制敕院	zhichiyuan
知封驳事	zhifengboshi
制诰	zhigao
知礼院	zhiliyuan
知礼院官	zhiliyuanguan
知密院	zhimiyuan
直舍人	zhisheren
直舍人院	zhisherenyuan
知审官	zhishenguan
知枢密院	zhishumiyuan
知西院	zhixiyuan
直院	zhiyuan
知院	zhiyuan
知院事	zhiyuanshi
知制诰	zhizhigao
中书	zhongshu
中枢	zhongshu
中书检正	zhongshujianzheng
中书门下	zhongshumenxia
中书内省	zhongshuneixing
中书堂	zhongshutang
中书五院	zhongshuwuyuan
中堂	zhongtang
诸房提点	zhufangtidian
主事	zhushi
专封官	zhuanfengguan
专知官	zhuanzhiguan
准备差事	zhunbeichaishi
准备将领	zhunbeijiangling
准备使唤	zhunbeishihuan
紫枢	zishu
紫垣黄阁	ziyuanhuangge
左史	zuoshi
把麾	bahui
百里之官	bailizhiguan
摆铺	baipu
半刺	banci
半刺史	bancishi
邦君	bangjun
保厘之寄	baolizhiji
北京留守	beijingliushou
北门留钥	beimenliuyao
北内	beinei
北宋四京	beisongsijing
别驾	biejia
宾幕	binmu
兵曹	bingcao
兵曹参军	bingcaocanjun
步递铺	budipu
簿治	buzhi
参军	canjun
参军事	canjunshi
仓曹	cangcao
仓曹参军	cangcaocanjun
曹官	caoguan
曹司	caosi
曹掾官	caoyuanguan
察判	chapan
察推	chatui
长民官	changminguan
丞厅	chengting
丞治	chengzhi
赤丞	chicheng
斥堠	chihou
斥堠铺	chihoupu
赤令	chiling
赤尉	chiwei
传置	chuanzhi
次府	cifu
刺史	cishi
刺史州	cishizhou
从事	congshi
倅贰	cuier
倅厅	cuiting
措大官	cuodaguan
大都督	dadudu
大都督府	dadudufu
大府	dafu
大录	dalu
大名府	damingfu
大内	danei
大尹	dayin
递铺	dipu
典午	dianwu
东海庙令	donghaimiaoling
东京留守	dongjingliushou
东尉	dongwei
洞主	dongzhu
都曹	doucao
