按察官	anchaguan
西上閤门司	xishanggemensi
厢都指挥使	xiangduzhihuishi
行宫禁卫所	xinggongjinweisuo
勋卫府中郎	xunweifuzhonglang
翊卫府中郎	yiweifuzhonglang
引进司副使	yinjinsifushi
右监门卫大将军	youjianmenweidajiangjun
右监门卫将军	youjianmenweijiangjun
右监门卫郎将	youjianmenweilangjiang
右监门卫上将军	youjianmenweishangjiangjun
右监门卫中郎将	youjianmenweizhonglangjiang
右金吾上将军	youjinwushangjiangjun
右金吾卫大将军	youjinwuweidajiangjun
右金吾卫将军	youjinwuweijiangjun
右金吾卫郎将	youjinwuweilangjiang
右金吾卫上将军	youjinwuweishangjiangjun
右金吾卫中郎将	youjinwuweizhonglangjiang
右领军卫大将军	youlingjunweidajiangjun
右领军卫将军	youlingjunweijiangjun
右领军卫郎将	youlingjunweilangjiang
右领军卫上将军	youlingjunweishangjiangjun
右领军卫中郎将	youlingjunweizhonglangjiang
右龙武军大将军	youlongwujundajiangjun
右龙武军将军	youlongwujunjiangjun
右龙武军统军	youlongwujuntongjun
右千牛卫大将军	youqianniuweidajiangjun
右千牛卫将军	youqianniuweijiangjun
右千牛卫郎将	youqianniuweilangjiang
右千牛卫上将军	youqianniuweishangjiangjun
右千牛卫中郎将	youqianniuweizhonglangjiang
右神武军大将军	youshenwujundajiangjun
右神武军将军	youshenwujunjiangjun
右神武军统军	youshenwujuntongjun
右屯卫大将军	youtunweidajiangjun
右屯卫将军	youtunweijiangjun
右屯卫上将军	youtunweishangjiangjun
右屯卫中郎将	youtunweizhonglangjiang
右卫大将军	youweidajiangjun
右卫上将军	youweishangjiangjun
右卫中郎将	youweizhonglangjiang
右武卫大将军	youwuweidajiangjun
右武卫将军	youwuweijiangjun
右武卫郎将	youwuweilangjiang
右武卫上将军	youwuweishangjiangjun
右武卫中郎将	youwuweizhonglangjiang
右骁卫大将军	youxiaoweidajiangjun
右骁卫将军	youxiaoweijiangjun
右骁卫郎将	youxiaoweilangjiang
右骁卫上将军	youxiaoweishangjiangjun
右骁卫中郎将	youxiaoweizhonglangjiang
右羽林军大将军	youyulinjundajiangjun
右羽林军将军	youyulinjunjiangjun
右羽林军上将军	youyulinjunshangjiangjun
右羽林军统军	youyulinjuntongjun
御龙弓箭直	yulonggongjianzhi
御前忠佐将校	yuqianzhongzuojiangxiao
御前忠佐军头	yuqianzhongzuojuntou
御前忠佐军头司	yuqianzhongzuojuntousi
御前忠佐六资	yuqianzhongzuoliuzi
御前忠佐散员	yuqianzhongzuosanyuan
知东上閤门事	zhidongshanggemenshi
知四方馆事	zhisifangguanshi
知西上閤门事	zhixishanggemenshi
知引进司公事	zhiyinjinsigongshi
诸班都虞侯	zhubandouyuhou
诸班都指挥使	zhubanduzhihuishi
诸班副都知	zhubanfudouzhi
诸班指挥使	zhubanzhihuishi
主管步军司	zhuguanbujunsi
主管步司公事	zhuguanbusigongshi
主管殿前司	zhuguandianqiansi
主管殿前司公事	zhuguandianqiansigongshi
主管閤门公事	zhuguangemengongshi
主管禁卫所	zhuguanjinweisuo
主管马军行司公事	zhuguanmajunxingsigongshi
主管某司公事	zhuguanmousigongshi
主管侍卫步军	zhuguanshiweibujun
主管侍卫步军司	zhuguanshiweibujunsi
主管侍卫马军司	zhuguanshiweimajunsi
诸卫大将军	zhuweidajiangjun
诸卫上将军	zhuweishangjiangjun
诸直都虞侯	zhuzhidouyuhou
诸直副指挥使	zhuzhifuzhihuishi
诸直将虞侯	zhuzhijiangyuhou
诸直指挥使	zhuzhizhihuishi
左监门卫大将军	zuojianmenweidajiangjun
左监门卫将军	zuojianmenweijiangjun
左监门卫郎将	zuojianmenweilangjiang
左监门卫上将军	zuojianmenweishangjiangjun
左监门卫中郎将	zuojianmenweizhonglangjiang
左金吾上将军	zuojinwushangjiangjun
左金吾卫大将军	zuojinwuweidajiangjun
左金吾卫将军	zuojinwuweijiangjun
左金吾卫郎将	zuojinwuweilangjiang
左金吾卫上将军	zuojinwuweishangjiangjun
左金吾卫中郎将	zuojinwuweizhonglangjiang
左领军卫大将军	zuolingjunweidajiangjun
左领军卫将军	zuolingjunweijiangjun
左领军卫郎将	zuolingjunweilangjiang
左领军卫上将军	zuolingjunweishangjiangjun
左领军卫中郎将	zuolingjunweizhonglangjiang
左领卫中郎将	zuolingweizhonglangjiang
左龙武军大将军	zuolongwujundajiangjun
左龙武军将军	zuolongwujunjiangjun
左龙武军统军	zuolongwujuntongjun
左千牛卫大将军	zuoqianniuweidajiangjun
左千牛卫将军	zuoqianniuweijiangjun
左千牛卫郎将	zuoqianniuweilangjiang
左千牛卫上将军	zuoqianniuweishangjiangjun
左千牛卫中郎将	zuoqianniuweizhonglangjiang
左神武军大将军	zuoshenwujundajiangjun
左神武军将军	zuoshenwujunjiangjun
左神武军上将军	zuoshenwujunshangjiangjun
左神武军统军	zuoshenwujuntongjun
左屯卫大将军	zuotunweidajiangjun
左屯卫将军	zuotunweijiangjun
左屯卫郎将	zuotunweilangjiang
左屯卫上将军	zuotunweishangjiangjun
左屯卫中郎将	zuotunweizhonglangjiang
左卫大将军	zuoweidajiangjun
左卫上将军	zuoweishangjiangjun
左卫中郎将	zuoweizhonglangjiang
左武卫大将军	zuowuweidajiangjun
左武卫将军	zuowuweijiangjun
左武卫郎将	zuowuweilangjiang
左武卫上将军	zuowuweishangjiangjun
左武卫中郎将	zuowuweizhonglangjiang
左骁卫大将军	zuoxiaoweidajiangjun
左骁卫将军	zuoxiaoweijiangjun
左骁卫郎将	zuoxiaoweilangjiang
左骁卫上将军	zuoxiaoweishangjiangjun
左骁卫中郎将	zuoxiaoweizhonglangjiang
左羽林军大将军	zuoyulinjundajiangjun
左羽林军将军	zuoyulinjunjiangjun
左羽林军上将军	zuoyulinjunshangjiangjun
左羽林军统军	zuoyulinjuntongjun
安抚制置使	anfuzhizhishi
北道大总管	beidaodazongguan
北道都总管	beidaodouzongguan
北道副总管	beidaofuzongguan
本城兵马都监	benchengbingmadoujian
兵马大元帅	bingmadayuanshuai
兵马都部署	bingmadoubushu
兵马都钤辖	bingmadouqianxia
兵马副钤辖	bingmafuqianxia
兵马副元帅	bingmafuyuanshuai
兵马钤辖司	bingmaqianxiasi
楚州武锋军都统制	chuzhouwufengjundoutongzhi
川陕荆襄都督府	chuanshanjingxiangdudufu
东道都总管	dongdaodouzongguan
东道副总管	dongdaofuzongguan
东南道都总管	dongnandaodouzongguan
东南道总管	dongnandaozongguan
东南三总领所	dongnansanzonglingsuo
都统制军马	doutongzhijunma
都总管承受	douzongguanchengshou
都总管司承受	douzongguansichengshou
都督府参谋官	dudufucanmouguan
都督府参谋军事	dudufucanmoujunshi
都督府参议官	dudufucanyiguan
都督府参议军事	dudufucanyijunshi
都督府参赞军事	dudufucanzanjunshi
都督府干办公事	dudufuganbangongshi
都督府回易库	dudufuhuiyiku
都督府随军运副	dudufusuijunyunfu
都督府准备差遣	dudufuzhunbeichaiqian
都督府准备差使	dudufuzhunbeichaishi
都督府谘议军事	dudufuziyijunshi
督视军马府	dushijunmafu
河北兵马大帅府	hebeibingmadashuaifu
河北兵马副元帅	hebeibingmafuyuanshuai
河北兵马元帅	hebeibingmayuanshuai
湖北总领所	hubeizonglingsuo
湖广总领所	huguangzonglingsuo
淮东总领财赋	huaidongzonglingcaifu
淮东总领司	huaidongzonglingsi
淮东总领所	huaidongzonglingsuo
淮西江东总领	huaixijiangdongzongling
淮西总领司	huaixizonglingsi
监兵马监押	jianbingmajianya
江东总领所	jiangdongzonglingsuo
江淮都督府	jianghuaidudufu
江淮荆浙都督府	jianghuaijingzhedudufu
江陵府都统	jianglingfudutong
江西京西湖北总司	jiangxijingxihubeizongsi
经略安抚都总管司	jinglueanfudouzongguansi
经略安抚副使	jinglueanfufushi
经略安抚使	jinglueanfushi
经略安抚使司	jinglueanfushisi
经略安抚司	jinglueanfusi
经略安抚司参议官	jinglueanfusicanyiguan
经略安抚司勾当公事	jinglueanfusigoudanggongshi
经略安抚沿边招讨使	jinglueanfuyanbianzhaotaoshi
经略安抚招讨使	jinglueanfuzhaotaoshi
经略安抚制置使	jinglueanfuzhizhishi
经略安抚制置使司	jinglueanfuzhizhishisi
经略司指使	jingluesizhishi
经略招讨司	jingluezhaotaosi
经略制置使	jingluezhizhishi
经略制置司	jingluezhizhisi
经制司干办公事	jingzhisiganbangongshi
路兵马都钤辖司	lubingmadouqianxiasi
路分兵马都监	lufenbingmadoujian
路分兵马副都监	lufenbingmafudoujian
路分兵马钤辖	lufenbingmaqianxia
路分都钤辖司	lufendouqianxiasi
路分军步军总管	lufenjunbujunzongguan
路分马步军部署	lufenmabujunbushu
鄜延路都总管经略安抚司	luyanludouzongguanjinglueanfusi
路驻泊兵马都监	luzhubobingmadoujian
马步军都部署	mabujundoubushu
马步军都总管	mabujundouzongguan
马步军副部署	mabujunfubushu
马步军副都部署	mabujunfudoubushu
马步军副都总管	mabujunfudouzongguan
马步军副总管	mabujunfuzongguan
沔州驻扎御前诸军都统制	mianzhouzhuzhayuqianzhujundoutongzhi
某军第某正将	moujundimouzhengjiang
某路某司走马承受公事	moulumousizoumachengshougongshi
南都都总管	nandudouzongguan
秦凤路经略安抚都总管司	qinfenglujinglueanfudouzongguansi
权签书经略安抚判官公事	quanqianshujinglueanfupanguangongshi
陕西都大管勾走马承受公事	shanxidoudaguangouzoumachengshougongshi
陕西经略安抚诏讨	shanxijinglueanfuzhaotao
陕西同经略安抚招讨使	shanxitongjinglueanfuzhaotaoshi
陕西沿边经略安抚招讨司	shanxiyanbianjinglueanfuzhaotaosi
书写宣抚司机密文字	shuxiexuanfusijimiwenzi
四川宣制司	sichuanxuanzhisi
四川宣总司	sichuanxuanzongsi
四川总领所	sichuanzonglingsuo
四川总领所鱼关签厅	sichuanzonglingsuoyuguanqianting
四川总制司	sichuanzongzhisi
四道都总管	sidaodouzongguan
四道都总管府	sidaodouzongguanfu
四道副总管	sidaofuzongguan
四辅郡都总管	sifujundouzongguan
四路招讨使	siluzhaotaoshi
四屯驻大军	situnzhudajun
提举一行事务	tijuyihangshiwu
天下兵马大元帅府	tianxiabingmadayuanshuaifu
同都巡检使	tongdouxunjianshi
同陇右都护	tonglongyouduhu
西道都总管	xidaodouzongguan
西道副总管	xidaofuzongguan
县兵马都监	xianbingmadoujian
县兵马监押	xianbingmajianya
行营兵马都监	xingyingbingmadoujian
行营都部署	xingyingdoubushu
行营马步军都监	xingyingmabujundoujian
行营马步军战棹都部署	xingyingmabujunzhanzhaodoubushu
兴元府驻扎御前诸军都统制	xingyuanfuzhuzhayuqianzhujundoutongzhi
许浦驻扎御前水军都统制	xupuzhuzhayuqianshuijundoutongzhi
宣抚处置副使	xuanfuchuzhifushi
宣抚处置使	xuanfuchuzhishi
沿边招讨使	yanbianzhaotaoshi
沿海制置使	yanhaizhizhishi
沿海制置使司	yanhaizhizhishisi
沿海制置司	yanhaizhizhisi
沿江水军制置使	yanjiangshuijunzhizhishi
沿江制置使	yanjiangzhizhishi
御前都统制	yuqiandoutongzhi
在城兵马钤辖	zaichengbingmaqianxia
寨兵马监押	zhaibingmajianya
招抚使司参谋官	zhaofushisicanmouguan
招抚使司都统制	zhaofushisidoutongzhi
招抚使司统领	zhaofushisitongling
招抚使司统制	zhaofushisitongzhi
招抚使司准备将领	zhaofushisizhunbeijiangling
镇兵马监押	zhenbingmajianya
镇抚使司参议官	zhenfushisicanyiguan
镇抚使司干办公事	zhenfushisiganbangongshi
镇抚使司统领官	zhenfushisitonglingguan
镇抚使司统制官	zhenfushisitongzhiguan
制置大使司	zhizhidashisi
制置副使司	zhizhifushisi
州兵马部署	zhoubingmabushu
州兵马都监	zhoubingmadoujian
州兵马监押	zhoubingmajianya
州兵马钤辖	zhoubingmaqianxia
州兵马总管	zhoubingmazongguan
州驻泊兵马都监	zhouzhubobingmadoujian
州驻泊都监	zhouzhubodoujian
州驻扎御前某军	zhouzhuzhayuqianmoujun
驻泊兵马钤辖	zhubobingmaqianxia
驻泊都部署	zhubodoubushu
主管镇抚司公事	zhuguanzhenfusigongshi
诸军都统制	zhujundoutongzhi
诸路军马都督府	zhulujunmadudufu
诸路军事都督府	zhulujunshidudufu
诸路军事都督行府	zhulujunshiduduxingfu
转运司承受公事	zhuanyunsichengshougongshi
总领海船所	zonglinghaichuansuo
走马承受公事	zoumachengshougongshi
走马承受公事内臣	zoumachengshougongshineichen
走马承受公事使臣	zoumachengshougongshishichen
遵义寨兵马监押	zunyizhaibingmajianya
编类圣政检讨官	bianleishengzhengjiantaoguan
编类圣政所	bianleishengzhengsuo
编修敕令所	bianxiuchilingsuo
编修条例司	bianxiutiaolisi
编修中书条例	bianxiuzhongshutiaoli
编修中书条例司	bianxiuzhongshutiaolisi
编修中书条例所	bianxiuzhongshutiaolisuo
编修诸司敕式所	bianxiuzhusichishisuo
编修诸司令式所	bianxiuzhusilingshisuo
重修敕令所	chongxiuchilingsuo
弓马子弟所	gongmazidisuo
勾当三班院公事	goudangsanbanyuangongshi
管勾银台司公事	guangouyintaisigongshi
监三省枢密院门	jiansanxingshumiyuanmen
检正五房公事	jianzhengwufanggongshi
检正中书户房公事	jianzhengzhongshuhufanggongshi
检正中书孔目房公事	jianzhengzhongshukongmufanggongshi
检正中书吏房公事	jianzhengzhongshulifanggongshi
检正中书礼房公事	jianzhengzhongshulifanggongshi
检正中书五房公事	jianzhengzhongshuwufanggongshi
检正中书刑房公事	jianzhengzhongshuxingfanggongshi
京朝官差遣院	jingchaoguanchaiqianyuan
看详编修中书门下条例所	kanxiangbianxiuzhongshumenxiatiaolisuo
看详编修中书条例	kanxiangbianxiuzhongshutiaoli
看详银台司文字所	kanxiangyintaisiwenzisuo
看详中书条例司	kanxiangzhongshutiaolisi
考校京朝官院	kaojiaojingchaoguanyuan
考课京朝官院	kaokejingchaoguanyuan
考课幕职州县官院	kaokemuzhizhouxianguanyuan
孔目房检正官	kongmufangjianzhengguan
吏部格式司	libugeshisi
吏部流内铨	libuliuneiquan
吏部流内选	libuliuneixuan
吏部尚书铨	libushangshuquan
领枢密院事	lingshumiyuanshi
密院府承旨	miyuanfuchengzhi
磨勘京朝官院	mokanjingchaoguanyuan
磨勘幕职州县官院	mokanmuzhizhouxianguanyuan
幕职州县官考课院	muzhizhouxianguankaokeyuan
幕职州县官院	muzhizhouxianguanyuan
判兵部官告院事	panbingbuguangaoyuanshi
判吏部官告院事	panlibuguangaoyuanshi
判吏部流内铨事	panlibuliuneiquanshi
判吏部南曹事	panlibunancaoshi
判枢密院事	panshumiyuanshi
判司封官告院事	pansifengguangaoyuanshi
判司勋官告院事	pansixunguangaoyuanshi
判太常礼院	pantaichangliyuan
签枢密院事	qianshumiyuanshi
签书枢密院	qianshushumiyuan
签书枢密院事	qianshushumiyuanshi
签署枢密院事	qianshushumiyuanshi
权领枢密院	quanlingshumiyuan
权领枢密院事	quanlingshumiyuanshi
权枢密院都承旨	quanshumiyuandouchengzhi
权同发遣枢密院事	quantongfaqianshumiyuanshi
三省枢密院激赏酒库	sanxingshumiyuanjishangjiuku
三省枢密院激赏库	sanxingshumiyuanjishangku
三省枢密院激赏钱库	sanxingshumiyuanjishangqianku
三省枢密院架阁库	sanxingshumiyuanjiageku
审官东院主簿	shenguandongyuanzhubu
审官西院主簿	shenguanxiyuanzhubu
守阙书令吏	shouqueshulingli
枢密都承旨	shumidouchengzhi
枢密副都承旨	shumifudouchengzhi
枢密院北面房	shumiyuanbeimianfang
枢密院编修	shumiyuanbianxiu
枢密院编修时政记房	shumiyuanbianxiushizhengjifang
枢密院编修司	shumiyuanbianxiusi
枢密院兵房	shumiyuanbingfang
枢密院兵籍房	shumiyuanbingjifang
枢密院承旨	shumiyuanchengzhi
枢密院承旨司	shumiyuanchengzhisi
枢密院东厨	shumiyuandongchu
枢密院都承旨	shumiyuandouchengzhi
枢密院二十五房	shumiyuanershiwufang
枢密院副承旨	shumiyuanfuchengzhi
枢密院副都承旨	shumiyuanfudouchengzhi
枢密院干办官	shumiyuanganbanguan
枢密院给使	shumiyuangeishi
枢密院广西房	shumiyuanguangxifang
枢密院河西房	shumiyuanhexifang
枢密院户房	shumiyuanhufang
枢密院机速房	shumiyuanjisufang
枢密院计议官	shumiyuanjiyiguan
枢密院检详	shumiyuanjianxiang
枢密院检详所	shumiyuanjianxiangsuo
枢密院检详文字	shumiyuanjianxiangwenzi
枢密院检详诸房文字	shumiyuanjianxiangzhufangwenzi
枢密院将帅	shumiyuanjiangshuai
枢密院讲仪司	shumiyuanjiangyisi
枢密院将佐	shumiyuanjiangzuo
枢密院教阅房	shumiyuanjiaoyuefang
枢密院尅择官	shumiyuankeizeguan
枢密院吏房	shumiyuanlifang
枢密院礼房	shumiyuanlifang
枢密院吏人	shumiyuanliren
枢密院民兵房	shumiyuanminbingfang
枢密院皮剥所	shumiyuanpibosuo
枢密院省马院	shumiyuanshengmayuan
枢密院使臣	shumiyuanshichen
枢密院十二房	shumiyuanshierfang
枢密院五房	shumiyuanwufang
枢密院五房院	shumiyuanwufangyuan
枢密院西厨	shumiyuanxichu
枢密院小吏房	shumiyuanxiaolifang
枢密院写宣房	shumiyuanxiexuanfang
枢密院刑房	shumiyuanxingfang
枢密院在京房	shumiyuanzaijingfang
枢密院支差房	shumiyuanzhichaifang
枢密院支马房	shumiyuanzhimafang
枢密院知杂房	shumiyuanzhizafang
枢密院准备使唤	shumiyuanzhunbeishihuan
提点五房公事	tidianwufanggongshi
提举编修圣政	tijubianxiushengzheng
提举兵部告院事	tijubingbugaoyuanshi
提举勾当公事官	tijugoudanggongshiguan
提举官告院	tijuguangaoyuan
提举京师诸司库务	tijujingshizhusikuwu
提举库务官	tijukuwuguan
提举吏部告院事	tijulibugaoyuanshi
提举司封告院事	tijusifenggaoyuanshi
提举司勾当	tijusigoudang
提举司勾当公事	tijusigoudanggongshi
提举司勋告院事	tijusixungaoyuanshi
提举修敕令	tijuxiuchiling
提举在京诸司库务	tijuzaijingzhusikuwu
提举在京诸司库务司	tijuzaijingzhusikuwusi
提举诸司官	tijuzhusiguan
提举诸司库务	tijuzhusikuwu
条例司详检官	tiaolisixiangjianguan
条例司详检文字	tiaolisixiangjianwenzi
同判太常礼院	tongpantaichangliyuan
同签书枢密院	tongqianshushumiyuan
同签书枢密院事	tongqianshushumiyuanshi
同签署枢密院事	tongqianshushumiyuanshi
同签书院事	tongqianshuyuanshi
同提举详定一司敕令	tongtijuxiangdingyisichiling
同详定一司敕令	tongxiangdingyisichiling
同修起居注	tongxiuqijuzhu
同知礼仪院事	tongzhiliyiyuanshi
同知三省枢密院	tongzhisanxingshumiyuan
同知枢密院	tongzhishumiyuan
同知枢密院事	tongzhishumiyuanshi
同知太常礼院	tongzhitaichangliyuan
同制置三司条例	tongzhizhisansitiaoli
同制置三司条例司	tongzhizhisansitiaolisi
五房习学检正官	wufangxixuejianzhengguan
详定编敕所	xiangdingbianchisuo
详订编敕所	xiangdingbianchisuo
详定敕令官	xiangdingchilingguan
详定敕令局	xiangdingchilingju
详订重修敕令所	xiangdingchongxiuchilingsuo
详定官制所	xiangdingguanzhisuo
行在皮剥所	xingzaipibosuo
银台司令吏	yintaisilingli
银台司书令吏	yintaisishulingli
银台司主事	yintaisizhushi
御前弓马子弟所	yuqiangongmazidisuo
宰相兼枢密使	zaixiangjianshumishi
掌起居郎事	zhangqijulangshi
掌起居舍人事	zhangqijusherenshi
制敕院兵礼房	zhichiyuanbinglifang
制敕院勾销房	zhichiyuangouxiaofang
制敕院户房	zhichiyuanhufang
制敕院孔目房	zhichiyuankongmufang
制敕院吏房	zhichiyuanlifang
制敕院生事房	zhichiyuanshengshifang
制敕院五房	zhichiyuanwufang
制敕院五房堂后官	zhichiyuanwufangtanghouguan
制敕院刑房	zhichiyuanxingfang
制敕院沿堂五院	zhichiyuanyantangwuyuan
知礼仪院事	zhiliyiyuanshi
知起居郎事	zhiqijulangshi
知起居舍人事	zhiqijusherenshi
知审官东院事	zhishenguandongyuanshi
知审官西院	zhishenguanxiyuan
知审官西院事	zhishenguanxiyuanshi
知审官院事	zhishenguanyuanshi
知枢密院事	zhishumiyuanshi
知太常礼院	zhitaichangliyuan
知通进司官	zhitongjinsiguan
知通进银台司公事	zhitongjinyintaisigongshi
知银台通进封驳司	zhiyintaitongjinfengbosi
制置三司条例	zhizhisansitiaoli
制置三司条例司	zhizhisansitiaolisi
制置条例司	zhizhitiaolisi
中书检正公事	zhongshujianzhenggongshi
中书检正官	zhongshujianzhengguan
中书门下枢密院	zhongshumenxiashumiyuan
中书堂后官	zhongshutanghouguan
中书五房提点公事	zhongshuwufangtidiangongshi
中书五房习学公事	zhongshuwufangxixuegongshi
逐房副承旨	zhufangfuchengzhi
主管架阁文字	zhuguanjiagewenzi
主管三省架阁文字	zhuguansanxingjiagewenzi
主管三省枢密院架阁文字	zhuguansanxingshumiyuanjiagewenzi
准备听候使唤	zhunbeitinghoushihuan
白鹿洞书院	bailudongshuyuan
北京留守司	beijingliushousi
城东都巡检司	chengdongdouxunjiansi
城东西都巡检使	chengdongxidouxunjianshi
城东西厢都巡检使	chengdongxixiangdouxunjianshi
城东西巡检使	chengdongxixunjianshi
城内两厢官	chengneiliangxiangguan
城内右厢巡检	chengneiyouxiangxunjian
城内左厢巡检	chengneizuoxiangxunjian
城西都巡检司	chengxidouxunjiansi
充某州军州事	chongmouzhoujunzhoushi
大都督府长史	dadudufuzhangshi
东京副留守	dongjingfuliushou
东京留守判官	dongjingliushoupanguan
东京留守司	dongjingliushousi
都辖房使臣	douxiafangshichen
府仓曹参军	fucangcaocanjun
府府学教授	fufuxuejiaoshou
府司检校库	fusijianjiaoku
勾当右厢公事	goudangyouxianggongshi
勾当左厢公事	goudangzuoxianggongshi
观察使判官	guanchashipanguan
管干右厢公事	guanganyouxianggongshi
架阁主管官	jiagezhuguanguan
建康府行宫留守	jiankangfuxinggongliushou
监临安府军资库	jianlinanfujunziku
节度掌书记	jieduzhangshuji
节度州判官	jieduzhoupanguan
京城军巡铺	jingchengjunxunpu
京城内外都巡检	jingchengneiwaidouxunjian
京城四面巡检	jingchengsimianxunjian
京城右军巡院	jingchengyoujunxunyuan
京城左军巡院	jingchengzuojunxunyuan
军节度判官	junjiedupanguan
军军学教授	junjunxuejiaoshou
开封府兵曹参军事	kaifengfubingcaocanjunshi
开封府博士	kaifengfuboshi
开封府参军事	kaifengfucanjunshi
开封府仓曹参军事	kaifengfucangcaocanjunshi
开封府法曹参军事	kaifengfufacaocanjunshi
开封府功曹参军事	kaifengfugongcaocanjunshi
开封府工曹参军事	kaifengfugongcaocanjunshi
开封府管勾架阁官	kaifengfuguangoujiageguan
开封府户曹参军事	kaifengfuhucaocanjunshi
开封府检校库	kaifengfujianjiaoku
开封府军巡院	kaifengfujunxunyuan
开封府六曹参军	kaifengfuliucaocanjun
开封府六曹官	kaifengfuliucaoguan
开封府判官	kaifengfupanguan
开封府三院	kaifengfusanyuan
开封府少尹	kaifengfushaoyin
开封府使院	kaifengfushiyuan
开封府司录	kaifengfusilu
开封府司录参军事	kaifengfusilucanjunshi
开封府司录司	kaifengfusilusi
开封府司录司检校库	kaifengfusilusijianjiaoku
开封府土曹参军事	kaifengfutucaocanjunshi
开封府推官	kaifengfutuiguan
开封府刑曹参军事	kaifengfuxingcaocanjunshi
开封府学博士	kaifengfuxueboshi
开封府学钱粮官	kaifengfuxueqianliangguan
开封府仪曹参军事	kaifengfuyicaocanjunshi
开封府右军巡判官	kaifengfuyoujunxunpanguan
开封府右军巡使	kaifengfuyoujunxunshi
开封府右军巡院	kaifengfuyoujunxunyuan
开封府诸曹参军	kaifengfuzhucaocanjun
开封府诸曹参军事	kaifengfuzhucaocanjunshi
开封府诸厢巡检	kaifengfuzhuxiangxunjian
开封府左军巡判官	kaifengfuzuojunxunpanguan
开封府左军巡使	kaifengfuzuojunxunshi
开封府左军巡院	kaifengfuzuojunxunyuan
临安府北倅	linanfubeicui
临安府城北厢厅	linanfuchengbeixiangting
临安府当直司	linanfudangzhisi
临安府都厅	linanfudouting
临安府架阁库	linanfujiageku
临安府军资库	linanfujunziku
临安府判官	linanfupanguan
临安府三倅厅	linanfusancuiting
临安府三狱	linanfusanyu
临安府少尹	linanfushaoyin
临安府推官	linanfutuiguan
临安府行宫留守	linanfuxinggongliushou
临安府行宫留守司	linanfuxinggongliushousi
临安府行宫同留守	linanfuxinggongtongliushou
临安府学教授	linanfuxuejiaoshou
临安府学教授东厅	linanfuxuejiaoshoudongting
临安府学教授西厅	linanfuxuejiaoshouxiting
录事参军事	lushicanjunshi
马步都虞侯	mabudouyuhou
某州某曹参军	mouzhoumoucaocanjun
某州某曹掾	mouzhoumoucaoyuan
南京留守司	nanjingliushousi
判某府军府事	panmoufujunfushi
判某州军州事	panmouzhoujunzhoushi
签书防御判官事	qianshufangyupanguanshi
签书观察判官事	qianshuguanchapanguanshi
签书监判官事	qianshujianpanguanshi
签书节度判官事	qianshujiedupanguanshi
签书节度判官厅	qianshujiedupanguanting
签书节度判官厅公事	qianshujiedupanguantinggongshi
签书军事判官事	qianshujunshipanguanshi
签书判官厅	qianshupanguanting
签书判官厅公事	qianshupanguantinggongshi
签署判官厅公事	qianshupanguantinggongshi
签书团练判官事	qianshutuanlianpanguanshi
权发遣某州军州事	quanfaqianmouzhoujunzhoushi
权发遣州事	quanfaqianzhoushi
权医学教授	quanyixuejiaoshou
权知开封府事	quanzhikaifengfushi
权知某州军州事	quanzhimouzhoujunzhoushi
使院都孔目官	shiyuandoukongmuguan
使院勾押官	shiyuangouyaguan
司法参军事	sifacanjunshi
司法参军厅	sifacanjunting
司户参军事	sihucanjunshi
司户参军厅	sihucanjunting
四京留守判官	sijingliushoupanguan
四京留守推官	sijingliushoutuiguan
司寇参军事	sikoucanjunshi
司理参军事	silicanjunshi
提举马递铺	tijumadipu
同判军州事	tongpanjunzhoushi
同判开封府事	tongpankaifengfushi
同判临安军府事	tongpanlinanjunfushi
通判某府军府事	tongpanmoufujunfushi
通判某军事	tongpanmoujunshi
同判某州军州事	tongpanmouzhoujunzhoushi
同知某州军州事	tongzhimouzhoujunzhoushi
西京留守司	xijingliushousi
厢界都所由	xiangjiedousuoyou
行宫留守司公事	xinggongliushousigongshi
行在军巡铺	xingzaijunxunpu
巡辖马递铺官	xunxiamadipuguan
巡辖马递铺使臣	xunxiamadipushichen
应天府书院	yingtianfushuyuan
右军巡判官	youjunxunpanguan
右军巡院推司	youjunxunyuantuisi
右军巡院狱	youjunxunyuanyu
右司理参军事	yousilicanjunshi
正医学教授	zhengyixuejiaoshou
知北京留守司事	zhibeijingliushousishi
知临安府事	zhilinanfushi
知临安军府事	zhilinanjunfushi
知留守司事	zhiliushousishi
知录事参军事	zhilushicanjunshi
知某府军府事	zhimoufujunfushi
知某州军府事	zhimouzhoujunfushi
知某州军州事	zhimouzhoujunzhoushi
知南京留守司事	zhinanjingliushousishi
知西京留守判官事	zhixijingliushoupanguanshi
知西京留守司事	zhixijingliushousishi
知县事兼军使	zhixianshijianjunshi
州州学教授	zhouzhouxuejiaoshou
诸曹参军事	zhucaocanjunshi
诸司参军事	zhusicanjunshi
诸学钱粮官	zhuxueqianliangguan
诸州曹掾官	zhuzhoucaoyuanguan
左军巡判官	zuojunxunpanguan
左军巡院推司	zuojunxunyuantuisi
左军巡院狱	zuojunxunyuanyu
左司理参军事	zuosilicanjunshi
鞍辔库副使	anpeikufushi
茶酒班殿侍	chajiubandianshi
殿中侍御史	dianzhongshiyushi
东八作副使	dongbazuofushi
东班诸司副使	dongbanzhusifushi
东班诸司使	dongbanzhusishi
东绫锦副使	donglingjinfushi
东染院副使	dongranyuanfushi
东头供奉官	dongtougongfengguan
东作坊副使	dongzuofangfushi
法酒库副使	fajiukufushi
